topic,entity_pair_id,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering,global_truth,score_A,score_B,score_compound
element_symb,"element_symb::[""Neon"",""Xenon""]",Xenon has the symbol Hf.,Neon has the symbol Ne.,0,1,FT,or,AB,1,-4.461189165824321,7.567103511911595,-2.3740614457121385
element_symb,"element_symb::[""Phosphorus"",""Praseodymium""]",Phosphorus has the symbol Se.,Praseodymium has the symbol I.,0,0,FF,or,BA,0,-11.974758262484917,-5.426280990045159,-3.476135932411296
animal_class,"animal_class::[""crocodile"",""hummingbird""]",The crocodile is a bird.,The hummingbird is a bird.,0,1,FT,and,AB,0,-12.774286596993763,8.67650955991027,5.053439524789837
animal_class,"animal_class::[""hedgehog"",""tiger""]",The hedgehog is a fish.,The tiger is a mammal.,0,1,FT,and,BA,0,-11.063886165962119,12.074780840064697,-3.0858291092600236
cities,"cities::[""Curitiba"",""Huainan""]",The city of Huainan is in China.,The city of Curitiba is in Croatia.,1,0,TF,and,BA,0,11.836961483024691,-14.138376765316243,3.0800803765300353
cities,"cities::[""Mianzhu, Deyang, Sichuan"",""Zibo""]","The city of Mianzhu, Deyang, Sichuan is in Azerbaijan.",The city of Zibo is in China.,0,1,FT,or,AB,1,-7.640968712529224,9.936902705262293,2.3793016510713336
cities,"cities::[""Jamshedpur"",""Zapopan""]",The city of Jamshedpur is in India.,The city of Zapopan is in Mexico.,1,1,TT,or,BA,1,8.055300999952129,12.336133718227838,6.694213579581643
cities,"cities::[""Luzhou"",""Saint Petersburg""]",The city of Saint Petersburg is in Russia.,The city of Luzhou is in China.,1,1,TT,or,AB,1,9.925189728764625,8.407011603064753,5.3857960654038415
inventors,"inventors::[""Arthur Fry"",""Leon Theremin""]",Leon Theremin lived in Russia.,Arthur Fry lived in Croatia.,1,0,TF,or,BA,1,2.748607799879113,-10.206261508436866,0.6145221307143407
inventors,"inventors::[""Charles Babbage"",""James Watt""]",James Watt lived in Finland.,Charles Babbage lived in the U.S.,0,0,FF,or,BA,0,-10.87972775435811,-12.42169549367671,0.9929685407976381
cities,"cities::[""Handan"",""Kota Kinabalu""]",The city of Handan is in Algeria.,The city of Kota Kinabalu is in Ukraine.,0,0,FF,or,AB,0,-10.4758119934805,-8.118430344015051,2.432643596392934
sp_en_trans,"sp_en_trans::[""higo"",""roca""]",The Spanish word 'higo' means 'fig'.,The Spanish word 'roca' means 'present'.,1,0,TF,or,AB,1,9.067420754667184,-3.9069776602426582,-5.918376011340337
inventors,"inventors::[""Charles Cros"",""James Clerk Maxwell""]",Charles Cros lived in France.,James Clerk Maxwell lived in Sweden.,1,0,TF,and,BA,0,9.79920804626678,-8.676510885918573,5.350721455367744
inventors,"inventors::[""Charles Goodyear"",""Igor Sikorsky""]",Charles Goodyear lived in the U.S.,Igor Sikorsky lived in Turkey/the U.S.,1,0,TF,and,BA,0,7.185554397688551,-0.5858834648142821,11.302399827141926
inventors,"inventors::[""Charles Macintosh"",""James Watt""]",Charles Macintosh lived in Japan.,James Watt lived in Scotland.,0,1,FT,or,AB,1,-13.541899465293968,9.848238864339997,2.648812566892955
sp_en_trans,"sp_en_trans::[""amigo"",""escribir""]",The Spanish word 'amigo' means 'friend'.,The Spanish word 'escribir' means 'to write'.,1,1,TT,and,AB,1,10.119350941467415,11.178876858773634,7.966742496445103
animal_class,"animal_class::[""axolotl"",""horse""]",The horse is a mammal.,The axolotl is a amphibian.,1,1,TT,and,BA,1,9.402734058282967,12.516833835070626,16.350970510884487
sp_en_trans,"sp_en_trans::[""higo"",""ola""]",The Spanish word 'ola' means 'class'.,The Spanish word 'higo' means 'nothing'.,0,0,FF,or,BA,0,-9.730229751192448,-15.18139533680946,-6.876630862134794
inventors,"inventors::[""Alva J. Fisher"",""Igor Tamm""]",Igor Tamm lived in Denmark.,Alva J. Fisher lived in the U.S.,0,1,FT,or,AB,1,-11.201197609687485,8.559273028145334,8.27252675774263
element_symb,"element_symb::[""Cobalt"",""Phosphorus""]",Phosphorus has the symbol Se.,Cobalt has the symbol Co.,0,1,FT,or,AB,1,-11.974758262484917,9.467031904668106,-3.6511738723042217
cities,"cities::[""Jingmen"",""Tolyatti""]",The city of Jingmen is in Peru.,The city of Tolyatti is in Russia.,0,1,FT,and,AB,0,-10.156213166624136,14.008524610066708,4.415473749182265
animal_class,"animal_class::[""bat"",""raccoon""]",The raccoon is a mammal.,The bat is a crustacean.,1,0,TF,or,BA,1,14.464255173859497,-14.990076376867295,1.4180998953821033
element_symb,"element_symb::[""Germanium"",""Potassium""]",Germanium has the symbol Ra.,Potassium has the symbol C.,0,0,FF,or,BA,0,-13.699860409464735,-16.553989050785233,-7.503763685750544
element_symb,"element_symb::[""Bromine"",""Potassium""]",Potassium has the symbol C.,Bromine has the symbol Br.,0,1,FT,and,AB,0,-16.553989050785233,9.541587477457758,-0.4529737848037545
cities,"cities::[""Hebi"",""Tomsk""]",The city of Tomsk is in Argentina.,The city of Hebi is in Sweden.,0,0,FF,and,AB,0,-16.93282093036582,-12.46876897834426,-0.943822561646348
inventors,"inventors::[""Candace Pert"",""Clarence Birdseye""]",Clarence Birdseye lived in Croatia.,Candace Pert lived in the U.S.,0,1,FT,and,AB,0,-19.63160967367873,5.687507237231947,9.189851825615861
inventors,"inventors::[""David Edward Hughes"",""Wallace Carothers""]",David Edward Hughes lived in Germany/the U.S.,Wallace Carothers lived in the U.S.,0,1,FT,and,BA,0,1.99728197345196,4.196792628659172,3.1355442071914137
cities,"cities::[""Baoji"",""Zhoushan""]",The city of Zhoushan is in the Philippines.,The city of Baoji is in Germany.,0,0,FF,and,AB,0,-12.860577923424488,-14.26741265580649,-1.9340284132757972
element_symb,"element_symb::[""Aluminum"",""Titanium""]",Aluminum has the symbol Al.,Titanium has the symbol I.,1,0,TF,or,BA,1,8.458748359948789,-5.468844705931668,2.130558026763275
element_symb,"element_symb::[""Chlorine"",""Platinum""]",Chlorine has the symbol Pt.,Platinum has the symbol S.,0,0,FF,or,BA,0,-12.638931244627232,-16.633431028366118,-6.478742269428496
element_symb,"element_symb::[""Aluminum"",""Titanium""]",Aluminum has the symbol C.,Titanium has the symbol Ti.,0,1,FT,and,AB,0,-13.020186024436066,5.537435444184372,-2.179183823550561
inventors,"inventors::[""Candace Pert"",""John Atanasoff""]",Candace Pert lived in Germany.,John Atanasoff lived in the U.S.,0,1,FT,and,AB,0,-10.440445477373965,7.207266835685541,8.505409962194923
animal_class,"animal_class::[""hippopotamus"",""lobster""]",The lobster is a arachnid.,The hippopotamus is a mollusk.,0,0,FF,and,BA,0,-7.188491807295302,-12.913983487337772,1.0545670059996022
animal_class,"animal_class::[""parrot"",""tiger""]",The tiger is a amphibian.,The parrot is a arachnid.,0,0,FF,or,BA,0,-12.278119480653162,-8.276444663643039,5.385354248542721
cities,"cities::[""Khulna"",""Peshawar""]",The city of Peshawar is in Sweden.,The city of Khulna is in Nigeria.,0,0,FF,and,AB,0,-12.544639898055701,-14.410897604715691,0.843882693474808
inventors,"inventors::[""Jacob Perkins"",""John Boyd Dunlop""]",John Boyd Dunlop lived in Scotland.,Jacob Perkins lived in the U.S.,1,1,TT,or,AB,1,6.386568073980762,4.026031925596515,6.047649061054228
element_symb,"element_symb::[""Lead"",""Lutetium""]",Lutetium has the symbol V.,Lead has the symbol Pb.,0,1,FT,and,BA,0,-15.205798745701054,4.641120269549071,-6.6746316658823925
inventors,"inventors::[""Alexander Graham Bell"",""Maria Telkes""]",Alexander Graham Bell lived in Scotland/Canada/the U.S.,Maria Telkes lived in Scotland.,1,0,TF,or,AB,1,4.625894279796278,-14.487643991227317,3.4131824268961646
element_symb,"element_symb::[""Scandium"",""Thorium""]",Scandium has the symbol Kr.,Thorium has the symbol Ac.,0,0,FF,and,BA,0,-14.25210852392379,-10.212055023115264,-10.30901505200118
animal_class,"animal_class::[""rabbit"",""whale""]",The whale is a amphibian.,The rabbit is a bird.,0,0,FF,or,AB,0,-11.940645222756418,-10.65449085113051,0.0330945382500456
animal_class,"animal_class::[""bee"",""porcupine""]",The bee is a mollusk.,The porcupine is a mammal.,0,1,FT,and,BA,0,-15.284747184753629,15.063041341633001,2.656081058681708
inventors,"inventors::[""Charles Francis Richter"",""Igor Tamm""]",Igor Tamm lived in Russia.,Charles Francis Richter lived in the U.S.,1,1,TT,or,AB,1,13.31970928847032,5.524723438888843,7.284425325373682
animal_class,"animal_class::[""goldfish"",""hamster""]",The goldfish is a mollusk.,The hamster is a mammal.,0,1,FT,and,BA,0,-14.336839567659412,12.257033982003753,4.027939755236289
cities,"cities::[""Nanchang"",""Santiago de los Caballeros""]",The city of Santiago de los Caballeros is in the Dominican Republic.,The city of Nanchang is in China.,1,1,TT,and,BA,1,10.342204063009685,11.93962148050945,14.405219628694578
sp_en_trans,"sp_en_trans::[""oferta"",""siete""]",The Spanish word 'siete' means 'seven'.,The Spanish word 'oferta' means 'offer'.,1,1,TT,or,BA,1,9.51278827613589,9.639413836894162,3.5636077359205833
animal_class,"animal_class::[""cassowary"",""skunk""]",The skunk is a insect.,The cassowary is a amphibian.,0,0,FF,and,AB,0,-13.856376543474271,-15.000460345863333,2.888531364395643
cities,"cities::[""Hebi"",""Tomsk""]",The city of Tomsk is in Russia.,The city of Hebi is in China.,1,1,TT,and,BA,1,12.500388171185865,11.446649662414478,9.735308036599282
cities,"cities::[""Asmara"",""Onitsha""]",The city of Asmara is in Eritrea.,The city of Onitsha is in Nigeria.,1,1,TT,or,AB,1,10.09918802586094,11.405966798875358,4.9414292757015446
cities,"cities::[""Irkutsk"",""Vijayawada""]",The city of Irkutsk is in Kuwait.,The city of Vijayawada is in China.,0,0,FF,or,AB,0,-10.957363916854193,-14.180315119152512,2.7110794511088656
cities,"cities::[""Mianzhu, Deyang, Sichuan"",""Zibo""]","The city of Mianzhu, Deyang, Sichuan is in China.",The city of Zibo is in China.,1,1,TT,or,AB,1,12.496060139984573,9.936902705262293,6.849824913679579
sp_en_trans,"sp_en_trans::[""imaginar"",""presente""]",The Spanish word 'presente' means 'problem'.,The Spanish word 'imaginar' means 'star'.,0,0,FF,and,AB,0,-8.395500779170009,-13.607809640313922,-1.65429472712969
animal_class,"animal_class::[""otter"",""penguin""]",The otter is a arachnid.,The penguin is a bird.,0,1,FT,and,AB,0,-11.778654169389055,10.356185574222538,5.317656157578714
animal_class,"animal_class::[""bat"",""raccoon""]",The raccoon is a mammal.,The bat is a crustacean.,1,0,TF,or,AB,1,14.464255173859497,-14.990076376867295,5.832819882623843
inventors,"inventors::[""John von Neumann"",""Nikolay Slavyanov""]",Nikolay Slavyanov lived in Japan.,John von Neumann lived in Hungary/the U.S.,0,1,FT,or,AB,1,-8.311403238461798,4.826175651185231,1.4374656497515872
cities,"cities::[""Nagoya"",""Siping""]",The city of Siping is in the United States.,The city of Nagoya is in Japan.,0,1,FT,or,BA,1,-6.969439851501244,11.259830749379546,6.495134080782567
inventors,"inventors::[""Hans Geiger"",""James Starley""]",James Starley lived in the U.K.,Hans Geiger lived in Germany.,1,1,TT,and,BA,1,10.936860457550795,11.367779048172167,7.632720997451767
animal_class,"animal_class::[""llama"",""otter""]",The llama is a mammal.,The otter is a arachnid.,1,0,TF,or,BA,1,15.243750144037348,-11.778654169389055,1.5999810292616896
animal_class,"animal_class::[""crocodile"",""hamster""]",The crocodile is a bird.,The hamster is a bird.,0,0,FF,or,BA,0,-12.774286596993763,-12.958208640437894,2.4068971036554014
cities,"cities::[""Acapulco de Juarez"",""Xiaogan""]",The city of Acapulco de Juarez is in Mexico.,The city of Xiaogan is in Nigeria.,1,0,TF,and,AB,0,11.0294863400386,-15.338526687266212,5.190987018865066
cities,"cities::[""Ciudad Nezahualcoyotl"",""Kisangani""]",The city of Ciudad Nezahualcoyotl is in Mexico.,The city of Kisangani is in the Democratic Republic of the Congo.,1,1,TT,and,AB,1,9.840392659718647,10.126568778449865,11.693612552940664
sp_en_trans,"sp_en_trans::[""construir"",""jugar""]",The Spanish word 'jugar' means 'to play'.,The Spanish word 'construir' means 'to build'.,1,1,TT,and,AB,1,11.516862326865265,11.695047771917723,8.25112714553301
element_symb,"element_symb::[""Promethium"",""Tantalum""]",Promethium has the symbol Bi.,Tantalum has the symbol La.,0,0,FF,and,AB,0,-12.537326858239082,-10.104492127833423,-4.771614868860308
animal_class,"animal_class::[""crocodile"",""hamster""]",The crocodile is a reptile.,The hamster is a mammal.,1,1,TT,or,AB,1,10.484434236021805,12.257033982003753,6.648198117492657
animal_class,"animal_class::[""gorilla"",""hamster""]",The gorilla is a reptile.,The hamster is a bird.,0,0,FF,and,AB,0,-10.39558199202684,-12.958208640437894,-2.2635066003773723
cities,"cities::[""Ashgabat"",""Dammam""]",The city of Ashgabat is in Oman.,The city of Dammam is in Cameroon.,0,0,FF,or,AB,0,-10.211130481743522,-13.01207775209909,3.0540011574583126
animal_class,"animal_class::[""dolphin"",""hedgehog""]",The dolphin is a mammal.,The hedgehog is a mammal.,1,1,TT,or,BA,1,12.573016845826123,11.121685130367759,3.3021315353284715
animal_class,"animal_class::[""dolphin"",""hedgehog""]",The dolphin is a mammal.,The hedgehog is a fish.,1,0,TF,or,AB,1,12.573016845826123,-11.063886165962119,1.9024301672909836
inventors,"inventors::[""Hans Goldschmidt"",""John Ambrose Fleming""]",Hans Goldschmidt lived in Russia.,John Ambrose Fleming lived in Finland.,0,0,FF,or,BA,0,-4.512403375964167,-15.296159385720154,3.484853429555674
sp_en_trans,"sp_en_trans::[""abrigo"",""rana""]",The Spanish word 'rana' means 'frog'.,The Spanish word 'abrigo' means 'coat'.,1,1,TT,and,BA,1,8.08877138540046,7.171754866801302,10.136688719328644
inventors,"inventors::[""Alva J. Fisher"",""Igor Tamm""]",Igor Tamm lived in Russia.,Alva J. Fisher lived in the U.S.,1,1,TT,or,AB,1,13.31970928847032,8.559273028145334,10.941677681822657
inventors,"inventors::[""Charles Babbage"",""James Watt""]",James Watt lived in Scotland.,Charles Babbage lived in the U.S.,1,0,TF,and,AB,0,9.848238864339997,-12.42169549367671,-2.134770795391601
element_symb,"element_symb::[""Cerium"",""Lanthanum""]",Lanthanum has the symbol Pr.,Cerium has the symbol Ce.,0,1,FT,or,BA,1,-6.209702654135192,9.750654864920756,4.052374227131935
element_symb,"element_symb::[""Chromium"",""Selenium""]",Selenium has the symbol Po.,Chromium has the symbol Cr.,0,1,FT,or,AB,1,-9.427586048386145,10.324301712394462,-1.501704810676351
cities,"cities::[""Orenburg"",""Quetta""]",The city of Orenburg is in Latvia.,The city of Quetta is in Pakistan.,0,1,FT,or,AB,1,-12.663249166717259,12.746460921498418,3.1447639375031278
animal_class,"animal_class::[""dog"",""iguana""]",The dog is a mammal.,The iguana is a reptile.,1,1,TT,and,BA,1,8.22389753939587,16.639811050985053,11.745900184383459
inventors,"inventors::[""Robert Noyce"",""Sir Humphry Davy""]",Sir Humphry Davy lived in Austria.,Robert Noyce lived in the U.S.,0,1,FT,and,AB,0,-11.685527595294916,5.769598357280794,8.803082662111944
inventors,"inventors::[""Joseph Bramah"",""Joseph Henry""]",Joseph Henry lived in Scotland.,Joseph Bramah lived in the U.K.,0,1,FT,or,BA,1,-3.4595944529274316,8.947315630575169,6.293321714891289
element_symb,"element_symb::[""Cadmium"",""Neon""]",Cadmium has the symbol Cd.,Neon has the symbol Ne.,1,1,TT,and,AB,1,7.578849927396538,7.567103511911595,5.5031843630532835
animal_class,"animal_class::[""jellyfish"",""platypus""]",The jellyfish is a cnidarian.,The platypus is a arachnid.,1,0,TF,or,AB,1,9.033178734824066,-10.667718387884333,0.6949653558260218
element_symb,"element_symb::[""Bromine"",""Potassium""]",Potassium has the symbol K.,Bromine has the symbol Br.,1,1,TT,and,AB,1,6.846094328932555,9.541587477457758,7.1267956270128465
cities,"cities::[""Homyel'"",""Pontianak""]",The city of Pontianak is in Mongolia.,The city of Homyel' is in Belarus.,0,1,FT,or,BA,1,-12.512632379282126,7.9336914720125975,2.7793757804015673
sp_en_trans,"sp_en_trans::[""noche"",""temprano""]",The Spanish word 'temprano' means 'nothing'.,The Spanish word 'noche' means 'to write'.,0,0,FF,and,AB,0,-13.792596703965645,-15.133461014561727,-0.6780639283907881
element_symb,"element_symb::[""Aluminum"",""Potassium""]",Aluminum has the symbol C.,Potassium has the symbol K.,0,1,FT,or,AB,1,-13.020186024436066,6.846094328932555,0.11226140682344976
sp_en_trans,"sp_en_trans::[""enviar"",""hombro""]",The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'enviar' means 'city'.,1,0,TF,and,AB,0,8.747792939743855,-16.00227650971439,-2.6395350643913726
animal_class,"animal_class::[""panda"",""salmon""]",The panda is a mammal.,The salmon is a crustacean.,1,0,TF,or,AB,1,11.40734644761501,-16.15095803353374,2.998811980757866
animal_class,"animal_class::[""camel"",""skunk""]",The camel is a mammal.,The skunk is a insect.,1,0,TF,and,AB,0,11.362429296063494,-13.856376543474271,4.7484062028762875
animal_class,"animal_class::[""crocodile"",""hummingbird""]",The crocodile is a reptile.,The hummingbird is a bird.,1,1,TT,or,AB,1,10.484434236021805,8.67650955991027,7.287907448762224
element_symb,"element_symb::[""Lutetium"",""Samarium""]",Lutetium has the symbol Lu.,Samarium has the symbol Sm.,1,1,TT,or,BA,1,8.388395731535208,7.7470571418019585,2.6533220380315363
inventors,"inventors::[""Benjamin Holt"",""Willis Carrier""]",Benjamin Holt lived in Poland/Germany.,Willis Carrier lived in Switzerland.,0,0,FF,and,BA,0,-9.433847976159692,-14.049665163706115,-5.07300211302273
animal_class,"animal_class::[""deer"",""raccoon""]",The raccoon is a bird.,The deer is a reptile.,0,0,FF,and,BA,0,-10.589295367062816,-10.614595265320132,-2.4826985673512194
animal_class,"animal_class::[""dog"",""iguana""]",The dog is a reptile.,The iguana is a crustacean.,0,0,FF,and,BA,0,-12.725224850775282,-12.664475379152298,-0.2012590684073814
sp_en_trans,"sp_en_trans::[""higo"",""ola""]",The Spanish word 'ola' means 'wave'.,The Spanish word 'higo' means 'nothing'.,1,0,TF,and,BA,0,10.883063302527152,-15.18139533680946,4.866848043309218
inventors,"inventors::[""Arthur Fry"",""Édouard-Léon Scott de Martinville""]",Édouard-Léon Scott de Martinville lived in France.,Arthur Fry lived in the U.S.,1,1,TT,and,AB,1,16.14923641026455,4.570980105788822,17.01038394114626
inventors,"inventors::[""Edouard Benedictus"",""Evangelista Torricelli""]",Edouard Benedictus lived in France.,Evangelista Torricelli lived in Italy.,1,1,TT,and,BA,1,10.022505574663159,13.381691503383966,16.182580386937904
inventors,"inventors::[""Clarence Birdseye"",""William Congreve""]",Clarence Birdseye lived in Croatia.,William Congreve lived in the U.K.,0,1,FT,or,BA,1,-19.63160967367873,6.263949597633735,1.3645752836404768
animal_class,"animal_class::[""moose"",""raccoon""]",The moose is a reptile.,The raccoon is a bird.,0,0,FF,or,BA,0,-9.306349592424128,-10.589295367062816,1.9160069896103202
element_symb,"element_symb::[""Fluorine"",""Gallium""]",Gallium has the symbol Pb.,Fluorine has the symbol Pt.,0,0,FF,or,BA,0,-12.150296783980702,-13.920805090721105,-8.678787544147562
cities,"cities::[""Ganzhou"",""Yaounde""]",The city of Ganzhou is in Tanzania.,The city of Yaounde is in Finland.,0,0,FF,or,AB,0,-11.548934008413232,-5.9118763097787355,-0.6298175378154305
sp_en_trans,"sp_en_trans::[""desarrollar"",""viejo""]",The Spanish word 'viejo' means 'old'.,The Spanish word 'desarrollar' means 'sand'.,1,0,TF,and,AB,0,10.345379435001174,-17.43964000310531,-8.739848616255406
inventors,"inventors::[""Galileo Galilei"",""Shinya Yamanaka""]",Shinya Yamanaka lived in Japan.,Galileo Galilei lived in Austria.,1,0,TF,and,AB,0,9.681755865284892,-10.354370450247325,7.370097322827
inventors,"inventors::[""Emile Berliner"",""Thomas Tompion""]",Emile Berliner lived in Japan.,Thomas Tompion lived in Russia.,0,0,FF,or,BA,0,-10.65470379413029,-14.937659056219472,0.7524203672823822
inventors,"inventors::[""Hans Goldschmidt"",""John Ambrose Fleming""]",Hans Goldschmidt lived in Russia.,John Ambrose Fleming lived in the U.K.,0,1,FT,and,AB,0,-4.512403375964167,5.47677078389938,7.089688989973753
animal_class,"animal_class::[""llama"",""mongoose""]",The mongoose is a reptile.,The llama is a mammal.,0,1,FT,or,AB,1,-6.909968871764537,15.243750144037348,-1.5452099756984783
sp_en_trans,"sp_en_trans::[""hueso"",""morir""]",The Spanish word 'hueso' means 'bone'.,The Spanish word 'morir' means 'to die'.,1,1,TT,and,BA,1,6.1059872230359185,10.235894289656294,5.832964313473114
inventors,"inventors::[""Robert Chesebrough"",""Vint Cerf""]",Robert Chesebrough lived in Croatia.,Vint Cerf lived in Sweden.,0,0,FF,and,AB,0,-16.820910385550597,-9.484682275289382,6.056078884958008
animal_class,"animal_class::[""gorilla"",""hamster""]",The gorilla is a reptile.,The hamster is a mammal.,0,1,FT,or,AB,1,-10.39558199202684,12.257033982003753,2.9811449655118736
inventors,"inventors::[""Charles Macintosh"",""James Watt""]",Charles Macintosh lived in the U.K.,James Watt lived in Finland.,1,0,TF,or,BA,1,7.516056298480262,-10.87972775435811,2.8755744074384326
element_symb,"element_symb::[""Ytterbium"",""Zinc""]",Ytterbium has the symbol Yb.,Zinc has the symbol Zn.,1,1,TT,and,AB,1,6.53869412174937,7.712124565358222,4.73914087508396
animal_class,"animal_class::[""camel"",""parrot""]",The parrot is a bird.,The camel is a mammal.,1,1,TT,or,AB,1,10.313521010597983,11.362429296063494,3.301481944090611
sp_en_trans,"sp_en_trans::[""vender"",""viejo""]",The Spanish word 'viejo' means 'to save'.,The Spanish word 'vender' means 'to sell'.,0,1,FT,and,BA,0,-13.245699813183736,12.38364564051501,-3.5372339503113697
element_symb,"element_symb::[""Boron"",""Selenium""]",Selenium has the symbol Se.,Boron has the symbol B.,1,1,TT,or,BA,1,9.478466127572773,7.169522440798875,5.438550636195268
animal_class,"animal_class::[""camel"",""moose""]",The moose is a mammal.,The camel is a mammal.,1,1,TT,or,BA,1,13.244416193347224,11.362429296063494,1.9445625569460026
element_symb,"element_symb::[""Argon"",""Rubidium""]",Argon has the symbol Pr.,Rubidium has the symbol Rb.,0,1,FT,and,AB,0,-4.0544778720967045,8.320598567451745,-0.43522291784741896
cities,"cities::[""Bhayandar"",""Yangquan""]",The city of Bhayandar is in India.,The city of Yangquan is in Mozambique.,1,0,TF,and,BA,0,10.078860492804104,-12.624566223185179,3.6743258169147524
sp_en_trans,"sp_en_trans::[""mezclar"",""viento""]",The Spanish word 'viento' means 'wind'.,The Spanish word 'mezclar' means 'to mix'.,1,1,TT,or,AB,1,10.722255857960775,10.18820053112589,3.308570042498067
animal_class,"animal_class::[""parrot"",""tiger""]",The tiger is a mammal.,The parrot is a bird.,1,1,TT,or,BA,1,12.074780840064697,10.313521010597983,2.4685905477240873
inventors,"inventors::[""Alfred Nobel"",""Charles Fritts""]",Charles Fritts lived in the U.S.,Alfred Nobel lived in Canada/the U.S.,1,0,TF,and,BA,0,6.2177121841361425,-11.236663454792806,7.531133316641072
element_symb,"element_symb::[""Cobalt"",""Fluorine""]",Fluorine has the symbol Pt.,Cobalt has the symbol Co.,0,1,FT,or,BA,1,-13.920805090721105,9.467031904668106,-8.67907243475162
animal_class,"animal_class::[""llama"",""slug""]",The slug is a mammal.,The llama is a mollusk.,0,0,FF,or,BA,0,-7.972015695460181,-9.852947071549808,-1.4493019584191753
animal_class,"animal_class::[""hedgehog"",""tiger""]",The hedgehog is a fish.,The tiger is a amphibian.,0,0,FF,or,AB,0,-11.063886165962119,-12.278119480653162,0.24835288823327062
sp_en_trans,"sp_en_trans::[""reloj"",""suficiente""]",The Spanish word 'reloj' means 'problem'.,The Spanish word 'suficiente' means 'enough'.,0,1,FT,or,BA,1,-12.864069536570765,8.762509767010066,-3.290834353775793
cities,"cities::[""Guigang"",""Linfen""]",The city of Guigang is in China.,The city of Linfen is in Uzbekistan.,1,0,TF,and,AB,0,9.328956775452736,-11.83099862193811,2.718439855387663
sp_en_trans,"sp_en_trans::[""hermana"",""huevo""]",The Spanish word 'huevo' means 'sister'.,The Spanish word 'hermana' means 'sister'.,0,1,FT,and,BA,0,-13.845558586562193,9.696108553461372,-9.938479301354617
animal_class,"animal_class::[""cow"",""goldfish""]",The goldfish is a fish.,The cow is a mammal.,1,1,TT,and,BA,1,7.154184611427517,11.338261306049995,11.567198884863366
cities,"cities::[""Changshu"",""Suining""]",The city of Suining is in Chad.,The city of Changshu is in Germany.,0,0,FF,or,AB,0,-4.14351093760323,-12.939407371980467,3.0721147796694863
sp_en_trans,"sp_en_trans::[""hablar"",""perro""]",The Spanish word 'hablar' means 'dictionary'.,The Spanish word 'perro' means 'dog'.,0,1,FT,and,BA,0,-13.939275052295324,8.079342519363635,-0.5663063242067636
sp_en_trans,"sp_en_trans::[""isla"",""tres""]",The Spanish word 'tres' means 'hope'.,The Spanish word 'isla' means 'island'.,0,1,FT,and,BA,0,-13.561804036043457,8.332779503768682,0.8388978923003672
cities,"cities::[""Ilorin"",""Yiwu""]",The city of Yiwu is in China.,The city of Ilorin is in Ukraine.,1,0,TF,or,BA,1,9.744983108659337,-9.724626173118766,0.7186108793405239
cities,"cities::[""Madurai"",""Tangier""]",The city of Tangier is in Nepal.,The city of Madurai is in India.,0,1,FT,or,BA,1,-15.413801705255883,11.81518719083908,0.4603895998436105
inventors,"inventors::[""Charles Francis Richter"",""James Murray Spangler""]",James Murray Spangler lived in the U.S.,Charles Francis Richter lived in the U.S.,1,1,TT,and,BA,1,8.703152708350402,5.524723438888843,12.763293503446235
cities,"cities::[""Diyarbakir"",""Seoul""]",The city of Seoul is in South Korea.,The city of Diyarbakir is in Kazakhstan.,1,0,TF,and,AB,0,10.04347209690826,-15.292482854499015,5.443664424363725
inventors,"inventors::[""Marie Curie"",""Nicolas Appert""]",Marie Curie lived in Poland/France.,Nicolas Appert lived in France.,1,1,TT,and,BA,1,4.6395570148510785,6.169624272225276,10.154236450154134
sp_en_trans,"sp_en_trans::[""hijo"",""invierno""]",The Spanish word 'hijo' means 'son'.,The Spanish word 'invierno' means 'winter'.,1,1,TT,or,AB,1,10.90328687739849,9.098942253831341,6.072917057734669
cities,"cities::[""Asmara"",""Malang""]",The city of Malang is in Tanzania.,The city of Asmara is in Eritrea.,0,1,FT,and,BA,0,-3.0337684379332828,10.09918802586094,4.2844624388532635
sp_en_trans,"sp_en_trans::[""caliente"",""vecino""]",The Spanish word 'vecino' means 'wind'.,The Spanish word 'caliente' means 'corner'.,0,0,FF,or,BA,0,-15.074108057694326,-13.883994853487911,-8.5077895811774
inventors,"inventors::[""Hans Oersted"",""Ralph H. Baer""]",Ralph H. Baer lived in the U.S.,Hans Oersted lived in Finland.,1,0,TF,or,BA,1,6.95010215871612,-6.746676088831483,8.800010523674407
element_symb,"element_symb::[""Iron"",""Phosphorus""]",Phosphorus has the symbol Se.,Iron has the symbol Os.,0,0,FF,or,AB,0,-11.974758262484917,-15.15316287697784,-6.456839021075094
sp_en_trans,"sp_en_trans::[""aceite"",""olor""]",The Spanish word 'olor' means 'smell'.,The Spanish word 'aceite' means 'oil'.,1,1,TT,or,BA,1,9.173496492090672,5.9655573218847735,0.319907646031405
element_symb,"element_symb::[""Europium"",""Platinum""]",Platinum has the symbol S.,Europium has the symbol Pm.,0,0,FF,or,AB,0,-16.633431028366118,-9.586466144817978,-1.1626913614263792
sp_en_trans,"sp_en_trans::[""comer"",""imaginar""]",The Spanish word 'imaginar' means 'to imagine'.,The Spanish word 'comer' means 'clock'.,1,0,TF,and,AB,0,9.482359265084185,-15.302409596184278,-2.1283205674096983
animal_class,"animal_class::[""bison"",""camel""]",The bison is a mammal.,The camel is a crustacean.,1,0,TF,or,BA,1,15.35446242086047,-14.717208180669639,3.356804156250906
