topic,entity_pair_id,conjunctA,conjunctB,ordering,cell,labelA,labelB,and_row_index,or_row_index,and_statement,or_statement,score_and,score_or,delta_OR_AND,template_diff_token_index,template_only_connective_diff
animal_class,"animal_class::[""pigeon"",""walrus""]",The walrus is a mammal.,The pigeon is a bird.,BA,TT,1,1,4499,1286,The pigeon is a bird and the walrus is a mammal.,The pigeon is a bird or the walrus is a mammal.,12.608801063641591,4.058674084294067,-8.550126979347525,5,True
animal_class,"animal_class::[""dolphin"",""hedgehog""]",The dolphin is a mammal.,The hedgehog is a mammal.,BA,TT,1,1,1287,1670,The hedgehog is a mammal and the dolphin is a mammal.,The hedgehog is a mammal or the dolphin is a mammal.,9.765136629705385,3.3021315353284715,-6.463005094376913,5,True
element_symb,"element_symb::[""Copper"",""Promethium""]",Promethium has the symbol Bi.,Copper has the symbol La.,AB,FF,0,0,1288,5732,Promethium has the symbol Bi and Copper has the symbol La.,Promethium has the symbol Bi or Copper has the symbol La.,-3.925048669662445,-1.954867247732592,1.970181421929853,5,True
element_symb,"element_symb::[""Carbon"",""Erbium""]",Carbon has the symbol Lu.,Erbium has the symbol Rh.,AB,FF,0,0,4540,1289,Carbon has the symbol Lu and Erbium has the symbol Rh.,Carbon has the symbol Lu or Erbium has the symbol Rh.,-10.528074293526403,-7.535245629869008,2.992828663657395,5,True
sp_en_trans,"sp_en_trans::[""parecer"",""uno""]",The Spanish word 'uno' means 'one'.,The Spanish word 'parecer' means 'wave'.,BA,TF,1,0,4657,1290,The Spanish word 'parecer' means 'wave' and the Spanish word 'uno' means 'one'.,The Spanish word 'parecer' means 'wave' or the Spanish word 'uno' means 'one'.,3.972534560559597,-1.0175602654623308,-4.990094826021927,6,True
cities,"cities::[""Algiers"",""Budapest""]",The city of Algiers is in Lithuania.,The city of Budapest is in Hungary.,BA,FT,0,1,2391,1292,The city of Budapest is in Hungary and the city of Algiers is in Lithuania.,The city of Budapest is in Hungary or the city of Algiers is in Lithuania.,3.3969100312748353,3.095934366898967,-0.3009756643758683,7,True
sp_en_trans,"sp_en_trans::[""hombro"",""ocupado""]",The Spanish word 'hombro' means 'map'.,The Spanish word 'ocupado' means 'busy'.,BA,FT,0,1,1293,6751,The Spanish word 'ocupado' means 'busy' and the Spanish word 'hombro' means 'map'.,The Spanish word 'ocupado' means 'busy' or the Spanish word 'hombro' means 'map'.,-2.5114518345985335,-5.449610946443707,-2.9381591118451738,6,True
inventors,"inventors::[""Hans Oersted"",""Ralph H. Baer""]",Ralph H. Baer lived in the U.S.,Hans Oersted lived in Denmark.,BA,TT,1,1,7223,1295,Hans Oersted lived in Denmark and Ralph H. Baer lived in the U.S.,Hans Oersted lived in Denmark or Ralph H. Baer lived in the U.S.,14.75401631471967,7.361949137255285,-7.392067177464385,5,True
cities,"cities::[""Changshu"",""Culiacan""]",The city of Changshu is in Germany.,The city of Culiacan is in Nigeria.,AB,FF,0,0,4017,1296,The city of Changshu is in Germany and the city of Culiacan is in Nigeria.,The city of Changshu is in Germany or the city of Culiacan is in Nigeria.,-3.451642302036303,-0.6387372471417603,2.812905054894543,7,True
element_symb,"element_symb::[""Chlorine"",""Platinum""]",Chlorine has the symbol Cl.,Platinum has the symbol Pt.,AB,TT,1,1,1297,3997,Chlorine has the symbol Cl and Platinum has the symbol Pt.,Chlorine has the symbol Cl or Platinum has the symbol Pt.,7.960298610837002,6.723525996781138,-1.2367726140558641,5,True
element_symb,"element_symb::[""Thulium"",""Zinc""]",Zinc has the symbol Ac.,Thulium has the symbol Mg.,BA,FF,0,0,1856,1298,Thulium has the symbol Mg and Zinc has the symbol Ac.,Thulium has the symbol Mg or Zinc has the symbol Ac.,-6.215294517428756,-11.180396234648772,-4.965101717220016,5,True
sp_en_trans,"sp_en_trans::[""aceite"",""libre""]",The Spanish word 'libre' means 'soldier'.,The Spanish word 'aceite' means 'oil'.,AB,FT,0,1,1299,4888,The Spanish word 'libre' means 'soldier' and the Spanish word 'aceite' means 'oil'.,The Spanish word 'libre' means 'soldier' or the Spanish word 'aceite' means 'oil'.,6.214497885811166,1.8239607832491984,-4.390537102561968,6,True
animal_class,"animal_class::[""lobster"",""shark""]",The shark is a cnidarian.,The lobster is a crustacean.,BA,FT,0,1,4935,1300,The lobster is a crustacean and the shark is a cnidarian.,The lobster is a crustacean or the shark is a cnidarian.,5.886204593664963,2.7106622212855314,-3.1755423723794314,5,True
inventors,"inventors::[""Robert Noyce"",""Sir Humphry Davy""]",Sir Humphry Davy lived in Austria.,Robert Noyce lived in the U.S.,AB,FT,0,1,1680,1301,Sir Humphry Davy lived in Austria and Robert Noyce lived in the U.S.,Sir Humphry Davy lived in Austria or Robert Noyce lived in the U.S.,8.803082662111944,6.185285382705396,-2.617797279406548,6,True
element_symb,"element_symb::[""Argon"",""Rubidium""]",Argon has the symbol Ar.,Rubidium has the symbol K.,BA,TF,1,0,1302,2672,Rubidium has the symbol K and Argon has the symbol Ar.,Rubidium has the symbol K or Argon has the symbol Ar.,-4.599217410715367,-6.607065622334412,-2.007848211619045,5,True
element_symb,"element_symb::[""Bromine"",""Potassium""]",Potassium has the symbol K.,Bromine has the symbol Br.,AB,TT,1,1,1684,1303,Potassium has the symbol K and Bromine has the symbol Br.,Potassium has the symbol K or Bromine has the symbol Br.,7.1267956270128465,5.893087091595896,-1.2337085354169508,5,True
sp_en_trans,"sp_en_trans::[""desarrollar"",""vender""]",The Spanish word 'desarrollar' means 'sand'.,The Spanish word 'vender' means 'son'.,AB,FF,0,0,2575,1304,The Spanish word 'desarrollar' means 'sand' and the Spanish word 'vender' means 'son'.,The Spanish word 'desarrollar' means 'sand' or the Spanish word 'vender' means 'son'.,-2.2012433289447415,-8.147682552642957,-5.946439223698215,6,True
element_symb,"element_symb::[""Mercury"",""Tantalum""]",Tantalum has the symbol Ta.,Mercury has the symbol Hg.,BA,TT,1,1,6041,1305,Mercury has the symbol Hg and Tantalum has the symbol Ta.,Mercury has the symbol Hg or Tantalum has the symbol Ta.,7.964675626401396,1.9023320753769637,-6.062343551024433,5,True
animal_class,"animal_class::[""mongoose"",""seagull""]",The seagull is a bird.,The mongoose is a reptile.,BA,TF,1,0,4559,1306,The mongoose is a reptile and the seagull is a bird.,The mongoose is a reptile or the seagull is a bird.,1.9992617144159173,0.2421103116781093,-1.757151402737808,5,True
animal_class,"animal_class::[""llama"",""otter""]",The llama is a mollusk.,The otter is a mammal.,AB,FT,0,1,1371,1307,The llama is a mollusk and the otter is a mammal.,The llama is a mollusk or the otter is a mammal.,5.10054161953755,-2.1046577361002488,-7.205199355637799,5,True
animal_class,"animal_class::[""axolotl"",""whale""]",The whale is a mammal.,The axolotl is a amphibian.,AB,TT,1,1,1308,2535,The whale is a mammal and the axolotl is a amphibian.,The whale is a mammal or the axolotl is a amphibian.,12.109404705743303,2.9453539082411897,-9.164050797502114,5,True
inventors,"inventors::[""Emile Berliner"",""Thomas Tompion""]",Emile Berliner lived in Germany/the U.S.,Thomas Tompion lived in the U.K.,BA,TT,1,1,1309,5004,Thomas Tompion lived in the U.K and Emile Berliner lived in Germany/the U.S.,Thomas Tompion lived in the U.K or Emile Berliner lived in Germany/the U.S.,7.025399594063961,0.5462556498982014,-6.4791439441657595,6,True
cities,"cities::[""Hanoi"",""Lubumbashi""]",The city of Hanoi is in Norway.,The city of Lubumbashi is in Chile.,BA,FF,0,0,4079,1310,The city of Lubumbashi is in Chile and the city of Hanoi is in Norway.,The city of Lubumbashi is in Chile or the city of Hanoi is in Norway.,0.3538057146442455,1.61954100819443,1.2657352935501844,7,True
animal_class,"animal_class::[""dolphin"",""kangaroo""]",The dolphin is a crustacean.,The kangaroo is a mammal.,BA,FT,0,1,1311,7225,The kangaroo is a mammal and the dolphin is a crustacean.,The kangaroo is a mammal or the dolphin is a crustacean.,-0.9262437623732254,4.103595494681287,5.029839257054513,5,True
cities,"cities::[""Agadir"",""Comilla""]",The city of Agadir is in Morocco.,The city of Comilla is in Bangladesh.,AB,TT,1,1,1312,5660,The city of Agadir is in Morocco and the city of Comilla is in Bangladesh.,The city of Agadir is in Morocco or the city of Comilla is in Bangladesh.,12.760155207862043,4.021323714910854,-8.738831492951189,7,True
cities,"cities::[""Port Harcourt"",""Santiago de los Caballeros""]",The city of Santiago de los Caballeros is in China.,The city of Port Harcourt is in Nigeria.,AB,FT,0,1,1314,2762,The city of Santiago de los Caballeros is in China and the city of Port Harcourt is in Nigeria.,The city of Santiago de los Caballeros is in China or the city of Port Harcourt is in Nigeria.,0.4911329448355932,1.256336076370529,0.7652031315349357,10,True
element_symb,"element_symb::[""Boron"",""Manganese""]",Boron has the symbol B.,Manganese has the symbol S.,AB,TF,1,0,1315,2904,Boron has the symbol B and Manganese has the symbol S.,Boron has the symbol B or Manganese has the symbol S.,-1.2330279138379083,-1.844745709034928,-0.6117177951970196,5,True
sp_en_trans,"sp_en_trans::[""familia"",""guardar""]",The Spanish word 'familia' means 'dog'.,The Spanish word 'guardar' means 'to pass'.,AB,FF,0,0,1317,4001,The Spanish word 'familia' means 'dog' and the Spanish word 'guardar' means 'to pass'.,The Spanish word 'familia' means 'dog' or the Spanish word 'guardar' means 'to pass'.,-0.29590455605463,-7.655044868340893,-7.359140312286263,6,True
sp_en_trans,"sp_en_trans::[""grupo"",""semilla""]",The Spanish word 'semilla' means 'bear'.,The Spanish word 'grupo' means 'wave'.,AB,FF,0,0,1318,2979,The Spanish word 'semilla' means 'bear' and the Spanish word 'grupo' means 'wave'.,The Spanish word 'semilla' means 'bear' or the Spanish word 'grupo' means 'wave'.,1.1274547209049004,-6.250459724920914,-7.377914445825814,6,True
animal_class,"animal_class::[""jellyfish"",""platypus""]",The jellyfish is a mammal.,The platypus is a mammal.,BA,FT,0,1,2343,1319,The platypus is a mammal and the jellyfish is a mammal.,The platypus is a mammal or the jellyfish is a mammal.,-2.977143127773191,1.9862854613535887,4.96342858912678,5,True
animal_class,"animal_class::[""crocodile"",""hummingbird""]",The crocodile is a bird.,The hummingbird is a crustacean.,BA,FF,0,0,1789,1320,The hummingbird is a crustacean and the crocodile is a bird.,The hummingbird is a crustacean or the crocodile is a bird.,2.3377271557925976,1.5810485439625177,-0.7566786118300799,5,True
sp_en_trans,"sp_en_trans::[""familia"",""vender""]",The Spanish word 'vender' means 'to sell'.,The Spanish word 'familia' means 'dog'.,BA,TF,1,0,1321,6634,The Spanish word 'familia' means 'dog' and the Spanish word 'vender' means 'to sell'.,The Spanish word 'familia' means 'dog' or the Spanish word 'vender' means 'to sell'.,0.0792501985372187,-5.404632974336179,-5.483883172873398,6,True
sp_en_trans,"sp_en_trans::[""familia"",""guardar""]",The Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to pass'.,BA,TF,1,0,4042,1322,The Spanish word 'guardar' means 'to pass' and the Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to pass' or the Spanish word 'familia' means 'family'.,5.024962917243686,1.4771663709857172,-3.5477965462579686,7,True
sp_en_trans,"sp_en_trans::[""ejemplo"",""gato""]",The Spanish word 'gato' means 'cat'.,The Spanish word 'ejemplo' means 'to see'.,AB,TF,1,0,1323,5782,The Spanish word 'gato' means 'cat' and the Spanish word 'ejemplo' means 'to see'.,The Spanish word 'gato' means 'cat' or the Spanish word 'ejemplo' means 'to see'.,-2.315816104294056,-6.046565028047107,-3.730748923753051,6,True
cities,"cities::[""Madurai"",""Tangier""]",The city of Tangier is in Morocco.,The city of Madurai is in Yemen.,BA,TF,1,0,7524,1324,The city of Madurai is in Yemen and the city of Tangier is in Morocco.,The city of Madurai is in Yemen or the city of Tangier is in Morocco.,1.561365712999617,3.331304393979332,1.769938680979715,7,True
cities,"cities::[""Najran"",""Santiago de Queretaro""]",The city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Somalia.,BA,TF,1,0,3233,1325,The city of Santiago de Queretaro is in Somalia and the city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Somalia or the city of Najran is in Saudi Arabia.,1.9985311734420368,-2.312790131345407,-4.311321304787444,9,True
sp_en_trans,"sp_en_trans::[""higo"",""oscuro""]",The Spanish word 'oscuro' means 'dark'.,The Spanish word 'higo' means 'fig'.,BA,TT,1,1,7278,1326,The Spanish word 'higo' means 'fig' and the Spanish word 'oscuro' means 'dark'.,The Spanish word 'higo' means 'fig' or the Spanish word 'oscuro' means 'dark'.,8.128830933527585,0.9711956407291016,-7.157635292798483,6,True
cities,"cities::[""Kleinzschocher"",""Santo Domingo Este""]",The city of Santo Domingo Este is in Colombia.,The city of Kleinzschocher is in Germany.,AB,FT,0,1,5708,1327,The city of Santo Domingo Este is in Colombia and the city of Kleinzschocher is in Germany.,The city of Santo Domingo Este is in Colombia or the city of Kleinzschocher is in Germany.,5.6628588151597,3.5760350096168665,-2.086823805542833,9,True
animal_class,"animal_class::[""bee"",""porcupine""]",The bee is a insect.,The porcupine is a mammal.,BA,TT,1,1,6016,1328,The porcupine is a mammal and the bee is a insect.,The porcupine is a mammal or the bee is a insect.,13.472094100251708,2.981267526314337,-10.49082657393737,5,True
inventors,"inventors::[""Arthur Fry"",""Leon Theremin""]",Leon Theremin lived in Russia.,Arthur Fry lived in the U.S.,AB,TT,1,1,1329,3299,Leon Theremin lived in Russia and Arthur Fry lived in the U.S.,Leon Theremin lived in Russia or Arthur Fry lived in the U.S.,13.97670096893916,3.725228550869276,-10.251472418069884,5,True
animal_class,"animal_class::[""gorilla"",""panda""]",The gorilla is a mammal.,The panda is a mammal.,AB,TT,1,1,1330,5693,The gorilla is a mammal and the panda is a mammal.,The gorilla is a mammal or the panda is a mammal.,11.113728683156124,3.636426100165102,-7.477302582991022,5,True
element_symb,"element_symb::[""Molybdenum"",""Nickel""]",Nickel has the symbol Ni.,Molybdenum has the symbol V.,AB,TF,1,0,1331,1997,Nickel has the symbol Ni and Molybdenum has the symbol V.,Nickel has the symbol Ni or Molybdenum has the symbol V.,-5.434247135973669,-3.2442218669337777,2.190025269039891,5,True
animal_class,"animal_class::[""sparrow"",""tarantula""]",The tarantula is a bird.,The sparrow is a crustacean.,BA,FF,0,0,3498,1332,The sparrow is a crustacean and the tarantula is a bird.,The sparrow is a crustacean or the tarantula is a bird.,-3.263526098253424,4.329409776946368,7.592935875199792,5,True
sp_en_trans,"sp_en_trans::[""parte"",""piedra""]",The Spanish word 'piedra' means 'mouth'.,The Spanish word 'parte' means 'black'.,AB,FF,0,0,6418,1333,The Spanish word 'piedra' means 'mouth' and the Spanish word 'parte' means 'black'.,The Spanish word 'piedra' means 'mouth' or the Spanish word 'parte' means 'black'.,-1.4898213146980996,-8.13724030844797,-6.64741899374987,6,True
sp_en_trans,"sp_en_trans::[""ballena"",""vender""]",The Spanish word 'ballena' means 'whale'.,The Spanish word 'vender' means 'to sell'.,BA,TT,1,1,1334,7903,The Spanish word 'vender' means 'to sell' and the Spanish word 'ballena' means 'whale'.,The Spanish word 'vender' means 'to sell' or the Spanish word 'ballena' means 'whale'.,11.345332823195085,6.4661565271870725,-4.879176296008012,7,True
cities,"cities::[""Denpasar"",""Salta""]",The city of Denpasar is in Nepal.,The city of Salta is in Argentina.,BA,FT,0,1,1335,6894,The city of Salta is in Argentina and the city of Denpasar is in Nepal.,The city of Salta is in Argentina or the city of Denpasar is in Nepal.,4.28408400419948,0.2166467740004325,-4.067437230199047,7,True
sp_en_trans,"sp_en_trans::[""ballena"",""vender""]",The Spanish word 'ballena' means 'whale'.,The Spanish word 'vender' means 'son'.,BA,TF,1,0,2682,1337,The Spanish word 'vender' means 'son' and the Spanish word 'ballena' means 'whale'.,The Spanish word 'vender' means 'son' or the Spanish word 'ballena' means 'whale'.,1.041067798386715,-1.764113748181286,-2.805181546568001,6,True
sp_en_trans,"sp_en_trans::[""higo"",""roca""]",The Spanish word 'higo' means 'fig'.,The Spanish word 'roca' means 'rock'.,AB,TT,1,1,6140,1338,The Spanish word 'higo' means 'fig' and the Spanish word 'roca' means 'rock'.,The Spanish word 'higo' means 'fig' or the Spanish word 'roca' means 'rock'.,7.742313009961848,2.067855937636784,-5.674457072325064,6,True
inventors,"inventors::[""Charles Francis Richter"",""John Walker""]",John Walker lived in India.,Charles Francis Richter lived in India.,AB,FF,0,0,5040,1340,John Walker lived in India and Charles Francis Richter lived in India.,John Walker lived in India or Charles Francis Richter lived in India.,3.605529387393754,1.0475655987070969,-2.5579637886866573,5,True
inventors,"inventors::[""John Atanasoff"",""Nils Bohlin""]",John Atanasoff lived in the U.S.,Nils Bohlin lived in the U.S.,BA,TF,1,0,1341,5193,Nils Bohlin lived in the U.S and John Atanasoff lived in the U.S.,Nils Bohlin lived in the U.S or John Atanasoff lived in the U.S.,13.088081536619374,8.550315908194014,-4.53776562842536,6,True
sp_en_trans,"sp_en_trans::[""reloj"",""suficiente""]",The Spanish word 'reloj' means 'clock'.,The Spanish word 'suficiente' means 'tool'.,AB,TF,1,0,3595,1342,The Spanish word 'reloj' means 'clock' and the Spanish word 'suficiente' means 'tool'.,The Spanish word 'reloj' means 'clock' or the Spanish word 'suficiente' means 'tool'.,1.3453796868211372,-2.110006363078538,-3.4553860498996753,6,True
cities,"cities::[""Quzhou"",""Shah Alam""]",The city of Quzhou is in Thailand.,The city of Shah Alam is in Malaysia.,BA,FT,0,1,7642,1343,The city of Shah Alam is in Malaysia and the city of Quzhou is in Thailand.,The city of Shah Alam is in Malaysia or the city of Quzhou is in Thailand.,4.758829779169376,0.0807665791594143,-4.678063200009961,8,True
cities,"cities::[""Dortmund"",""Ryazan'""]",The city of Dortmund is in Germany.,The city of Ryazan' is in Russia.,AB,TT,1,1,1344,3880,The city of Dortmund is in Germany and the city of Ryazan' is in Russia.,The city of Dortmund is in Germany or the city of Ryazan' is in Russia.,13.00043398756943,6.089855024222647,-6.910578963346783,7,True
inventors,"inventors::[""Charles Goodyear"",""Igor Sikorsky""]",Charles Goodyear lived in Poland/France.,Igor Sikorsky lived in Turkey/the U.S.,BA,FF,0,0,1345,3049,Igor Sikorsky lived in Turkey/the U.S and Charles Goodyear lived in Poland/France.,Igor Sikorsky lived in Turkey/the U.S or Charles Goodyear lived in Poland/France.,0.8446065489637515,0.9164732135313232,0.07186666456757163,6,True
element_symb,"element_symb::[""Radium"",""Tellurium""]",Tellurium has the symbol Zn.,Radium has the symbol Pr.,BA,FF,0,0,1346,2915,Radium has the symbol Pr and Tellurium has the symbol Zn.,Radium has the symbol Pr or Tellurium has the symbol Zn.,-5.509630459889998,-5.5902031362882045,-0.08057267639820687,5,True
element_symb,"element_symb::[""Radium"",""Tellurium""]",Tellurium has the symbol Zn.,Radium has the symbol Pr.,AB,FF,0,0,5514,1347,Tellurium has the symbol Zn and Radium has the symbol Pr.,Tellurium has the symbol Zn or Radium has the symbol Pr.,-3.72551875132676,-8.083929384833036,-4.358410633506276,5,True
animal_class,"animal_class::[""camel"",""elephant""]",The camel is a crustacean.,The elephant is a crustacean.,AB,FF,0,0,2244,1348,The camel is a crustacean and the elephant is a crustacean.,The camel is a crustacean or the elephant is a crustacean.,-0.635265040316142,-0.2471986539236983,0.3880663863924436,5,True
sp_en_trans,"sp_en_trans::[""ballena"",""vender""]",The Spanish word 'ballena' means 'rose'.,The Spanish word 'vender' means 'to sell'.,BA,FT,0,1,7452,1349,The Spanish word 'vender' means 'to sell' and the Spanish word 'ballena' means 'rose'.,The Spanish word 'vender' means 'to sell' or the Spanish word 'ballena' means 'rose'.,0.0299578218203144,-2.0243243117041345,-2.054282133524449,7,True
element_symb,"element_symb::[""Bismuth"",""Oxygen""]",Bismuth has the symbol Tl.,Oxygen has the symbol O.,BA,FT,0,1,1350,3186,Oxygen has the symbol O and Bismuth has the symbol Tl.,Oxygen has the symbol O or Bismuth has the symbol Tl.,-2.1498403835426387,4.656744189063599,6.806584572606238,5,True
cities,"cities::[""Osaka"",""Rizhao""]",The city of Osaka is in Japan.,The city of Rizhao is in China.,BA,TT,1,1,2923,1351,The city of Rizhao is in China and the city of Osaka is in Japan.,The city of Rizhao is in China or the city of Osaka is in Japan.,10.881516947743943,4.075304302616063,-6.80621264512788,7,True
element_symb,"element_symb::[""Lanthanum"",""Technetium""]",Lanthanum has the symbol La.,Technetium has the symbol Pb.,BA,TF,1,0,7707,1353,Technetium has the symbol Pb and Lanthanum has the symbol La.,Technetium has the symbol Pb or Lanthanum has the symbol La.,-4.371125597958381,-7.540452480594409,-3.169326882636028,5,True
element_symb,"element_symb::[""Platinum"",""Rhenium""]",Platinum has the symbol S.,Rhenium has the symbol Pb.,BA,FF,0,0,1354,5317,Rhenium has the symbol Pb and Platinum has the symbol S.,Rhenium has the symbol Pb or Platinum has the symbol S.,-1.80087429707355,-5.545915321331901,-3.7450410242583505,5,True
animal_class,"animal_class::[""goat"",""narwhal""]",The goat is a reptile.,The narwhal is a mammal.,BA,FT,0,1,5484,1355,The narwhal is a mammal and the goat is a reptile.,The narwhal is a mammal or the goat is a reptile.,2.669404201284575,3.401011638373964,0.731607437089389,5,True
cities,"cities::[""Oklahoma City"",""Shizuoka""]",The city of Oklahoma City is in Thailand.,The city of Shizuoka is in the Democratic Republic of the Congo.,AB,FF,0,0,1356,6382,The city of Oklahoma City is in Thailand and the city of Shizuoka is in the Democratic Republic of the Congo.,The city of Oklahoma City is in Thailand or the city of Shizuoka is in the Democratic Republic of the Congo.,-0.1429584023523489,3.737683937971422,3.880642340323771,8,True
animal_class,"animal_class::[""gazelle"",""sparrow""]",The sparrow is a bird.,The gazelle is a mammal.,AB,TT,1,1,6185,1357,The sparrow is a bird and the gazelle is a mammal.,The sparrow is a bird or the gazelle is a mammal.,13.5100453445951,4.775644495488514,-8.734400849106587,5,True
animal_class,"animal_class::[""chimpanzee"",""goat""]",The goat is a mammal.,The chimpanzee is a mammal.,BA,TT,1,1,1358,2879,The chimpanzee is a mammal and the goat is a mammal.,The chimpanzee is a mammal or the goat is a mammal.,13.859962610931314,3.7478332704944313,-10.112129340436883,5,True
cities,"cities::[""Bhopal"",""Kisangani""]",The city of Bhopal is in Iraq.,The city of Kisangani is in Senegal.,AB,FF,0,0,3813,1359,The city of Bhopal is in Iraq and the city of Kisangani is in Senegal.,The city of Bhopal is in Iraq or the city of Kisangani is in Senegal.,-0.600596593447305,1.4774239220138936,2.0780205154611986,7,True
cities,"cities::[""Nanchang"",""Santiago de los Caballeros""]",The city of Santiago de los Caballeros is in China.,The city of Nanchang is in Burundi.,AB,FF,0,0,1450,1360,The city of Santiago de los Caballeros is in China and the city of Nanchang is in Burundi.,The city of Santiago de los Caballeros is in China or the city of Nanchang is in Burundi.,-2.8384753971135854,6.308693849093184,9.147169246206769,10,True
sp_en_trans,"sp_en_trans::[""imaginar"",""pero""]",The Spanish word 'pero' means 'but'.,The Spanish word 'imaginar' means 'star'.,BA,TF,1,0,4776,1361,The Spanish word 'imaginar' means 'star' and the Spanish word 'pero' means 'but'.,The Spanish word 'imaginar' means 'star' or the Spanish word 'pero' means 'but'.,6.064089711834563,-0.6559280959017713,-6.720017807736334,6,True
element_symb,"element_symb::[""Phosphorus"",""Strontium""]",Phosphorus has the symbol Se.,Strontium has the symbol I.,AB,FF,0,0,7072,1362,Phosphorus has the symbol Se and Strontium has the symbol I.,Phosphorus has the symbol Se or Strontium has the symbol I.,-4.861963476180581,-2.770482297181431,2.0914811789991496,5,True
inventors,"inventors::[""Godfrey Hounsfield"",""James Hargreaves""]",Godfrey Hounsfield lived in the U.K.,James Hargreaves lived in Japan.,BA,TF,1,0,4779,1363,James Hargreaves lived in Japan and Godfrey Hounsfield lived in the U.K.,James Hargreaves lived in Japan or Godfrey Hounsfield lived in the U.K.,7.076909216541113,3.599794378864938,-3.477114837676175,5,True
sp_en_trans,"sp_en_trans::[""madre"",""mapa""]",The Spanish word 'madre' means 'neighbor'.,The Spanish word 'mapa' means 'to swim'.,BA,FF,0,0,3501,1365,The Spanish word 'mapa' means 'to swim' and the Spanish word 'madre' means 'neighbor'.,The Spanish word 'mapa' means 'to swim' or the Spanish word 'madre' means 'neighbor'.,-0.7575222574350367,-5.249351797674217,-4.491829540239181,7,True
element_symb,"element_symb::[""Cadmium"",""Cerium""]",Cadmium has the symbol Pr.,Cerium has the symbol I.,AB,FF,0,0,3829,1366,Cadmium has the symbol Pr and Cerium has the symbol I.,Cadmium has the symbol Pr or Cerium has the symbol I.,-7.681565347117642,-9.06844668628978,-1.3868813391721382,5,True
animal_class,"animal_class::[""hedgehog"",""lion""]",The hedgehog is a mammal.,The lion is a cnidarian.,AB,TF,1,0,1367,6002,The hedgehog is a mammal and the lion is a cnidarian.,The hedgehog is a mammal or the lion is a cnidarian.,2.689585179612992,5.855818124922909,3.1662329453099165,5,True
cities,"cities::[""Santo Domingo Oeste"",""Uberlandia""]",The city of Uberlandia is in Brazil.,The city of Santo Domingo Oeste is in the Dominican Republic.,AB,TT,1,1,1368,2961,The city of Uberlandia is in Brazil and the city of Santo Domingo Oeste is in the Dominican Republic.,The city of Uberlandia is in Brazil or the city of Santo Domingo Oeste is in the Dominican Republic.,9.450365784390062,1.421572908709276,-8.028792875680786,7,True
element_symb,"element_symb::[""Cerium"",""Thallium""]",Cerium has the symbol Ce.,Thallium has the symbol Tl.,AB,TT,1,1,2649,1369,Cerium has the symbol Ce and Thallium has the symbol Tl.,Cerium has the symbol Ce or Thallium has the symbol Tl.,6.226663912229227,4.224413154831148,-2.0022507573980786,5,True
inventors,"inventors::[""Emile Berliner"",""Michael Faraday""]",Michael Faraday lived in the U.K.,Emile Berliner lived in Japan.,AB,TF,1,0,6799,1370,Michael Faraday lived in the U.K and Emile Berliner lived in Japan.,Michael Faraday lived in the U.K or Emile Berliner lived in Japan.,4.542409316967962,1.4995576940835234,-3.042851622884439,6,True
animal_class,"animal_class::[""hummingbird"",""peacock""]",The hummingbird is a crustacean.,The peacock is a insect.,AB,FF,0,0,1372,4562,The hummingbird is a crustacean and the peacock is a insect.,The hummingbird is a crustacean or the peacock is a insect.,6.186631573308508,-0.4935315449814315,-6.68016311828994,5,True
inventors,"inventors::[""Herbert Akroyd Stuart"",""Ralph H. Baer""]",Ralph H. Baer lived in Finland.,Herbert Akroyd Stuart lived in England.,AB,FT,0,1,1373,3726,Ralph H. Baer lived in Finland and Herbert Akroyd Stuart lived in England.,Ralph H. Baer lived in Finland or Herbert Akroyd Stuart lived in England.,13.824311493002988,6.810144475747766,-7.014167017255222,6,True
inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Finland.,Paul Gottlieb Nipkow lived in Germany.,BA,TT,1,1,1374,3827,Paul Gottlieb Nipkow lived in Germany and Linus Torvalds lived in Finland.,Paul Gottlieb Nipkow lived in Germany or Linus Torvalds lived in Finland.,12.604253127986407,8.350066254635479,-4.254186873350928,6,True
inventors,"inventors::[""Robert Chesebrough"",""Vint Cerf""]",Robert Chesebrough lived in Croatia.,Vint Cerf lived in the U.S.,AB,FT,0,1,1375,5623,Robert Chesebrough lived in Croatia and Vint Cerf lived in the U.S.,Robert Chesebrough lived in Croatia or Vint Cerf lived in the U.S.,6.176164918764678,-1.1765682970642288,-7.3527332158289065,5,True
sp_en_trans,"sp_en_trans::[""familia"",""vender""]",The Spanish word 'vender' means 'son'.,The Spanish word 'familia' means 'family'.,AB,FT,0,1,1376,5504,The Spanish word 'vender' means 'son' and the Spanish word 'familia' means 'family'.,The Spanish word 'vender' means 'son' or the Spanish word 'familia' means 'family'.,-0.0888953249678667,-4.075629098860377,-3.98673377389251,6,True
element_symb,"element_symb::[""Chromium"",""Selenium""]",Selenium has the symbol Po.,Chromium has the symbol Rb.,AB,FF,0,0,1377,6553,Selenium has the symbol Po and Chromium has the symbol Rb.,Selenium has the symbol Po or Chromium has the symbol Rb.,-8.653529610798701,-8.412366573513458,0.24116303728524358,5,True
