statement,topic,n,condition,n_true,n_false,compound_label,conjuncts,labels
The city of Guntur is in India and the city of Ryazan' is in Russia and the city of Huzhou is in China.,cities,3,all_true,3,0,1,"[""The city of Guntur is in India."", ""The city of Ryazan' is in Russia."", ""The city of Huzhou is in China.""]","[1, 1, 1]"
The Spanish word 'papel' means 'paper' and the Spanish word 'rosa' means 'rose' and the Spanish word 'aceite' means 'oil' and the Spanish word 'nadar' means 'to swim'.,sp_en_trans,4,all_true,4,0,1,"[""The Spanish word 'papel' means 'paper'."", ""The Spanish word 'rosa' means 'rose'."", ""The Spanish word 'aceite' means 'oil'."", ""The Spanish word 'nadar' means 'to swim'.""]","[1, 1, 1, 1]"
The Spanish word 'conectar' means 'to connect' and the Spanish word 'invierno' means 'family'.,sp_en_trans,2,dilute_1false,1,1,0,"[""The Spanish word 'conectar' means 'to connect'."", ""The Spanish word 'invierno' means 'family'.""]","[1, 0]"
Sodium has the symbol N and Promethium has the symbol Bi and Mercury has the symbol Sb.,element_symb,3,all_false,0,3,0,"[""Sodium has the symbol N."", ""Promethium has the symbol Bi."", ""Mercury has the symbol Sb.""]","[0, 0, 0]"
Mary Phelps Jacob lived in Croatia and Eli Whitney lived in Croatia and Linus Torvalds lived in Canada/the U.S and George Pullman lived in China and Philo Taylor Farnsworth lived in Japan and Guglielmo Marconi lived in Japan.,inventors,6,all_false,0,6,0,"[""Mary Phelps Jacob lived in Croatia."", ""Eli Whitney lived in Croatia."", ""Linus Torvalds lived in Canada/the U.S."", ""George Pullman lived in China."", ""Philo Taylor Farnsworth lived in Japan."", ""Guglielmo Marconi lived in Japan.""]","[0, 0, 0, 0, 0, 0]"
Vint Cerf lived in the U.S and Thomas Wedgwood lived in the U.K and Frederick McKinley Jones lived in the U.S and Mary Walton lived in the U.S and Charles Cros lived in France and Jacob Perkins lived in the U.S.,inventors,6,all_true,6,0,1,"[""Vint Cerf lived in the U.S."", ""Thomas Wedgwood lived in the U.K."", ""Frederick McKinley Jones lived in the U.S."", ""Mary Walton lived in the U.S."", ""Charles Cros lived in France."", ""Jacob Perkins lived in the U.S.""]","[1, 1, 1, 1, 1, 1]"
The dog is a mammal and the panda is a mammal and the vulture is a bird and the hippopotamus is a mammal and the goat is a mammal and the sparrow is a bird.,animal_class,6,all_true,6,0,1,"[""The dog is a mammal."", ""The panda is a mammal."", ""The vulture is a bird."", ""The hippopotamus is a mammal."", ""The goat is a mammal."", ""The sparrow is a bird.""]","[1, 1, 1, 1, 1, 1]"
Pierre Curie lived in France and Charles Goodyear lived in Poland/France.,inventors,2,dilute_1false,1,1,0,"[""Pierre Curie lived in France."", ""Charles Goodyear lived in Poland/France.""]","[1, 0]"
The Spanish word 'parecer' means 'to seem' and the Spanish word 'oferta' means 'open' and the Spanish word 'caliente' means 'hot'.,sp_en_trans,3,dilute_1false,2,1,0,"[""The Spanish word 'parecer' means 'to seem'."", ""The Spanish word 'oferta' means 'open'."", ""The Spanish word 'caliente' means 'hot'.""]","[1, 0, 1]"
Tantalum has the symbol La and Erbium has the symbol Rh and Mercury has the symbol Sb and Potassium has the symbol C and Scandium has the symbol Kr and Technetium has the symbol Pb.,element_symb,6,all_false,0,6,0,"[""Tantalum has the symbol La."", ""Erbium has the symbol Rh."", ""Mercury has the symbol Sb."", ""Potassium has the symbol C."", ""Scandium has the symbol Kr."", ""Technetium has the symbol Pb.""]","[0, 0, 0, 0, 0, 0]"
The hummingbird is a crustacean and the gorilla is a reptile and the leopard is a cnidarian and the beaver is a bird.,animal_class,4,all_false,0,4,0,"[""The hummingbird is a crustacean."", ""The gorilla is a reptile."", ""The leopard is a cnidarian."", ""The beaver is a bird.""]","[0, 0, 0, 0]"
The city of Fukuoka is in Mongolia and the city of Shaoguan is in Myanmar.,cities,2,all_false,0,2,0,"[""The city of Fukuoka is in Mongolia."", ""The city of Shaoguan is in Myanmar.""]","[0, 0]"
Herbert Saffir lived in the U.S and Arthur Fry lived in the U.S.,inventors,2,all_true,2,0,1,"[""Herbert Saffir lived in the U.S."", ""Arthur Fry lived in the U.S.""]","[1, 1]"
Michael Faraday lived in the U.K and Henry Ford lived in the U.S and Alec Jeffreys lived in the U.K and Lester Wire lived in the U.S and Samuel Colt lived in the U.S and Galileo Galilei lived in Italy.,inventors,6,all_true,6,0,1,"[""Michael Faraday lived in the U.K."", ""Henry Ford lived in the U.S."", ""Alec Jeffreys lived in the U.K."", ""Lester Wire lived in the U.S."", ""Samuel Colt lived in the U.S."", ""Galileo Galilei lived in Italy.""]","[1, 1, 1, 1, 1, 1]"
Dysprosium has the symbol I and Molybdenum has the symbol Mo and Tantalum has the symbol Ta and Tellurium has the symbol Te and Iridium has the symbol Ir and Nickel has the symbol Ni.,element_symb,6,dilute_1false,5,1,0,"[""Dysprosium has the symbol I."", ""Molybdenum has the symbol Mo."", ""Tantalum has the symbol Ta."", ""Tellurium has the symbol Te."", ""Iridium has the symbol Ir."", ""Nickel has the symbol Ni.""]","[0, 1, 1, 1, 1, 1]"
Barium has the symbol Ba and Fluorine has the symbol F and Astatine has the symbol At and Thorium has the symbol Th.,element_symb,4,all_true,4,0,1,"[""Barium has the symbol Ba."", ""Fluorine has the symbol F."", ""Astatine has the symbol At."", ""Thorium has the symbol Th.""]","[1, 1, 1, 1]"
Rubidium has the symbol Rb and Oxygen has the symbol O.,element_symb,2,all_true,2,0,1,"[""Rubidium has the symbol Rb."", ""Oxygen has the symbol O.""]","[1, 1]"
The Spanish word 'sur' means 'to play' and the Spanish word 'oferta' means 'open' and the Spanish word 'peligro' means 'shell' and the Spanish word 'roca' means 'present' and the Spanish word 'bueno' means 'modern' and the Spanish word 'pagar' means 'enough'.,sp_en_trans,6,all_false,0,6,0,"[""The Spanish word 'sur' means 'to play'."", ""The Spanish word 'oferta' means 'open'."", ""The Spanish word 'peligro' means 'shell'."", ""The Spanish word 'roca' means 'present'."", ""The Spanish word 'bueno' means 'modern'."", ""The Spanish word 'pagar' means 'enough'.""]","[0, 0, 0, 0, 0, 0]"
The Spanish word 'construir' means 'to build' and the Spanish word 'rosa' means 'rose' and the Spanish word 'industria' means 'industry' and the Spanish word 'tren' means 'train' and the Spanish word 'roca' means 'rock' and the Spanish word 'antes' means 'before'.,sp_en_trans,6,all_true,6,0,1,"[""The Spanish word 'construir' means 'to build'."", ""The Spanish word 'rosa' means 'rose'."", ""The Spanish word 'industria' means 'industry'."", ""The Spanish word 'tren' means 'train'."", ""The Spanish word 'roca' means 'rock'."", ""The Spanish word 'antes' means 'before'.""]","[1, 1, 1, 1, 1, 1]"
Linus Torvalds lived in Finland and Samuel Morse lived in the U.S and August Horch lived in Sweden/the U.S and Biruté Galdikas lived in Canada.,inventors,4,dilute_1false,3,1,0,"[""Linus Torvalds lived in Finland."", ""Samuel Morse lived in the U.S."", ""August Horch lived in Sweden/the U.S."", ""Birut\u00e9 Galdikas lived in Canada.""]","[1, 1, 0, 1]"
Felix Hoffmann lived in Canada and John Walker lived in the U.K.,inventors,2,dilute_1false,1,1,0,"[""Felix Hoffmann lived in Canada."", ""John Walker lived in the U.K.""]","[0, 1]"
The Spanish word 'herramienta' means 'tool' and the Spanish word 'amigo' means 'friend' and the Spanish word 'esperanza' means 'hope'.,sp_en_trans,3,all_true,3,0,1,"[""The Spanish word 'herramienta' means 'tool'."", ""The Spanish word 'amigo' means 'friend'."", ""The Spanish word 'esperanza' means 'hope'.""]","[1, 1, 1]"
The Spanish word 'familia' means 'dog' and the Spanish word 'nada' means 'nothing' and the Spanish word 'antes' means 'before' and the Spanish word 'resultado' means 'result' and the Spanish word 'invierno' means 'winter' and the Spanish word 'potencia' means 'power'.,sp_en_trans,6,dilute_1false,5,1,0,"[""The Spanish word 'familia' means 'dog'."", ""The Spanish word 'nada' means 'nothing'."", ""The Spanish word 'antes' means 'before'."", ""The Spanish word 'resultado' means 'result'."", ""The Spanish word 'invierno' means 'winter'."", ""The Spanish word 'potencia' means 'power'.""]","[0, 1, 1, 1, 1, 1]"
Blaise Pascal lived in France and Willem Einthoven lived in the Netherlands.,inventors,2,all_true,2,0,1,"[""Blaise Pascal lived in France."", ""Willem Einthoven lived in the Netherlands.""]","[1, 1]"
The city of Kalininskiy is in Turkmenistan and the city of Visakhapatnam is in Poland and the city of Fes is in Burkina Faso.,cities,3,all_false,0,3,0,"[""The city of Kalininskiy is in Turkmenistan."", ""The city of Visakhapatnam is in Poland."", ""The city of Fes is in Burkina Faso.""]","[0, 0, 0]"
The rhinoceros is a mammal and the kangaroo is a mammal.,animal_class,2,all_true,2,0,1,"[""The rhinoceros is a mammal."", ""The kangaroo is a mammal.""]","[1, 1]"
Earle Dickson lived in Germany/the U.S and Sir Sandford Fleming lived in Austria/the U.S and Percy Spencer lived in Russia and Pierre Curie lived in the Netherlands and Marvin Camras lived in Japan and Giovanni Caselli lived in Denmark.,inventors,6,all_false,0,6,0,"[""Earle Dickson lived in Germany/the U.S."", ""Sir Sandford Fleming lived in Austria/the U.S."", ""Percy Spencer lived in Russia."", ""Pierre Curie lived in the Netherlands."", ""Marvin Camras lived in Japan."", ""Giovanni Caselli lived in Denmark.""]","[0, 0, 0, 0, 0, 0]"
Gallium has the symbol Ga and Manganese has the symbol Mn.,element_symb,2,all_true,2,0,1,"[""Gallium has the symbol Ga."", ""Manganese has the symbol Mn.""]","[1, 1]"
The city of Yiwu is in China and the city of Quito is in France.,cities,2,dilute_1false,1,1,0,"[""The city of Yiwu is in China."", ""The city of Quito is in France.""]","[1, 0]"
The Spanish word 'vaca' means 'cow' and the Spanish word 'potencia' means 'shell' and the Spanish word 'ruido' means 'noise'.,sp_en_trans,3,dilute_1false,2,1,0,"[""The Spanish word 'vaca' means 'cow'."", ""The Spanish word 'potencia' means 'shell'."", ""The Spanish word 'ruido' means 'noise'.""]","[1, 0, 1]"
The peacock is a bird and the chimpanzee is a mammal and the goldfish is a fish.,animal_class,3,all_true,3,0,1,"[""The peacock is a bird."", ""The chimpanzee is a mammal."", ""The goldfish is a fish.""]","[1, 1, 1]"
The porcupine is a mammal and the platypus is a mammal and the gazelle is a mammal and the whale is a mammal and the peacock is a insect and the tapir is a mammal.,animal_class,6,dilute_1false,5,1,0,"[""The porcupine is a mammal."", ""The platypus is a mammal."", ""The gazelle is a mammal."", ""The whale is a mammal."", ""The peacock is a insect."", ""The tapir is a mammal.""]","[1, 1, 1, 1, 0, 1]"
The city of Baku is in Azerbaijan and the city of Chennai is in India and the city of Rourkela is in India and the city of Islamabad is in Turkmenistan.,cities,4,dilute_1false,3,1,0,"[""The city of Baku is in Azerbaijan."", ""The city of Chennai is in India."", ""The city of Rourkela is in India."", ""The city of Islamabad is in Turkmenistan.""]","[1, 1, 1, 0]"
James Clerk Maxwell lived in the U.K and Robert Adler lived in Austria/the U.S and Ferdinand Carré lived in France and Eli Whitney lived in the U.S and Bette Nesmith Graham lived in the U.S and George Cayley lived in the U.K.,inventors,6,all_true,6,0,1,"[""James Clerk Maxwell lived in the U.K."", ""Robert Adler lived in Austria/the U.S."", ""Ferdinand Carr\u00e9 lived in France."", ""Eli Whitney lived in the U.S."", ""Bette Nesmith Graham lived in the U.S."", ""George Cayley lived in the U.K.""]","[1, 1, 1, 1, 1, 1]"
Protactinium has the symbol Eu and Niobium has the symbol Nb and Ytterbium has the symbol Yb and Promethium has the symbol Pm and Zirconium has the symbol Zr and Selenium has the symbol Se.,element_symb,6,dilute_1false,5,1,0,"[""Protactinium has the symbol Eu."", ""Niobium has the symbol Nb."", ""Ytterbium has the symbol Yb."", ""Promethium has the symbol Pm."", ""Zirconium has the symbol Zr."", ""Selenium has the symbol Se.""]","[0, 1, 1, 1, 1, 1]"
The beaver is a mammal and the chimpanzee is a mammal and the eagle is a bird and the tiger is a mammal and the hamster is a mammal and the cat is a mammal.,animal_class,6,all_true,6,0,1,"[""The beaver is a mammal."", ""The chimpanzee is a mammal."", ""The eagle is a bird."", ""The tiger is a mammal."", ""The hamster is a mammal."", ""The cat is a mammal.""]","[1, 1, 1, 1, 1, 1]"
Iodine has the symbol Y and Molybdenum has the symbol V and Hafnium has the symbol U and Phosphorus has the symbol Se and Boron has the symbol H and Helium has the symbol Rh.,element_symb,6,all_false,0,6,0,"[""Iodine has the symbol Y."", ""Molybdenum has the symbol V."", ""Hafnium has the symbol U."", ""Phosphorus has the symbol Se."", ""Boron has the symbol H."", ""Helium has the symbol Rh.""]","[0, 0, 0, 0, 0, 0]"
David Schwarz lived in Finland and John Walker lived in India and László Bíró lived in Norway and George Washington Carver lived in Sweden and Frederick Walton lived in Croatia and John Harrison lived in France.,inventors,6,all_false,0,6,0,"[""David Schwarz lived in Finland."", ""John Walker lived in India."", ""L\u00e1szl\u00f3 B\u00edr\u00f3 lived in Norway."", ""George Washington Carver lived in Sweden."", ""Frederick Walton lived in Croatia."", ""John Harrison lived in France.""]","[0, 0, 0, 0, 0, 0]"
The swan is a cnidarian and the cow is a bird.,animal_class,2,all_false,0,2,0,"[""The swan is a cnidarian."", ""The cow is a bird.""]","[0, 0]"
The Spanish word 'sencilla' means 'simple' and the Spanish word 'oscuro' means 'dark'.,sp_en_trans,2,all_true,2,0,1,"[""The Spanish word 'sencilla' means 'simple'."", ""The Spanish word 'oscuro' means 'dark'.""]","[1, 1]"
The tiger is a mammal and the chicken is a bird and the snake is a reptile.,animal_class,3,all_true,3,0,1,"[""The tiger is a mammal."", ""The chicken is a bird."", ""The snake is a reptile.""]","[1, 1, 1]"
The Spanish word 'miedo' means 'son' and the Spanish word 'ocupado' means 'to draw' and the Spanish word 'cocinero' means 'to have' and the Spanish word 'jirafa' means 'to send'.,sp_en_trans,4,all_false,0,4,0,"[""The Spanish word 'miedo' means 'son'."", ""The Spanish word 'ocupado' means 'to draw'."", ""The Spanish word 'cocinero' means 'to have'."", ""The Spanish word 'jirafa' means 'to send'.""]","[0, 0, 0, 0]"
The Spanish word 'aceite' means 'son' and the Spanish word 'higo' means 'nothing' and the Spanish word 'oveja' means 'busy' and the Spanish word 'enemigo' means 'thin' and the Spanish word 'imaginar' means 'star' and the Spanish word 'peligro' means 'shell'.,sp_en_trans,6,all_false,0,6,0,"[""The Spanish word 'aceite' means 'son'."", ""The Spanish word 'higo' means 'nothing'."", ""The Spanish word 'oveja' means 'busy'."", ""The Spanish word 'enemigo' means 'thin'."", ""The Spanish word 'imaginar' means 'star'."", ""The Spanish word 'peligro' means 'shell'.""]","[0, 0, 0, 0, 0, 0]"
The city of Diyarbakir is in Turkey and the city of Kalyan is in India and the city of Recife is in Brazil.,cities,3,all_true,3,0,1,"[""The city of Diyarbakir is in Turkey."", ""The city of Kalyan is in India."", ""The city of Recife is in Brazil.""]","[1, 1, 1]"
John Gorrie lived in the U.S and Karl Benz lived in Germany and Sergey Brin and Larry Page lived in the U.S.,inventors,3,all_true,3,0,1,"[""John Gorrie lived in the U.S."", ""Karl Benz lived in Germany."", ""Sergey Brin and Larry Page lived in the U.S.""]","[1, 1, 1]"
Cadmium has the symbol Cd and Tungsten has the symbol W.,element_symb,2,all_true,2,0,1,"[""Cadmium has the symbol Cd."", ""Tungsten has the symbol W.""]","[1, 1]"
The elephant is a crustacean and the hyena is a cnidarian and the hummingbird is a crustacean.,animal_class,3,all_false,0,3,0,"[""The elephant is a crustacean."", ""The hyena is a cnidarian."", ""The hummingbird is a crustacean.""]","[0, 0, 0]"
The city of Ma'anshan is in China and the city of Tiruppur is in Gabon and the city of Jilin is in China and the city of Qujing is in China and the city of Meerut is in India and the city of Santiago de Queretaro is in Mexico.,cities,6,dilute_1false,5,1,0,"[""The city of Ma'anshan is in China."", ""The city of Tiruppur is in Gabon."", ""The city of Jilin is in China."", ""The city of Qujing is in China."", ""The city of Meerut is in India."", ""The city of Santiago de Queretaro is in Mexico.""]","[1, 0, 1, 1, 1, 1]"
The Spanish word 'uno' means 'mouth' and the Spanish word 'hielo' means 'life'.,sp_en_trans,2,all_false,0,2,0,"[""The Spanish word 'uno' means 'mouth'."", ""The Spanish word 'hielo' means 'life'.""]","[0, 0]"
The city of Callao is in Peru and the city of Kolhapur is in India and the city of Erzurum is in Turkey and the city of Taicang is in China and the city of Kota Bharu is in Malaysia and the city of Pikine is in Honduras.,cities,6,dilute_1false,5,1,0,"[""The city of Callao is in Peru."", ""The city of Kolhapur is in India."", ""The city of Erzurum is in Turkey."", ""The city of Taicang is in China."", ""The city of Kota Bharu is in Malaysia."", ""The city of Pikine is in Honduras.""]","[1, 1, 1, 1, 1, 0]"
The kangaroo is a mammal and the slug is a mollusk and the beaver is a mammal and the parrot is a bird and the deer is a mammal and the pigeon is a bird.,animal_class,6,all_true,6,0,1,"[""The kangaroo is a mammal."", ""The slug is a mollusk."", ""The beaver is a mammal."", ""The parrot is a bird."", ""The deer is a mammal."", ""The pigeon is a bird.""]","[1, 1, 1, 1, 1, 1]"
The aardvark is a insect and the horse is a fish.,animal_class,2,all_false,0,2,0,"[""The aardvark is a insect."", ""The horse is a fish.""]","[0, 0]"
The Spanish word 'ahora' means 'now' and the Spanish word 'listo' means 'fig' and the Spanish word 'toro' means 'bull' and the Spanish word 'coche' means 'car' and the Spanish word 'cocinero' means 'cook' and the Spanish word 'jirafa' means 'giraffe'.,sp_en_trans,6,dilute_1false,5,1,0,"[""The Spanish word 'ahora' means 'now'."", ""The Spanish word 'listo' means 'fig'."", ""The Spanish word 'toro' means 'bull'."", ""The Spanish word 'coche' means 'car'."", ""The Spanish word 'cocinero' means 'cook'."", ""The Spanish word 'jirafa' means 'giraffe'.""]","[1, 0, 1, 1, 1, 1]"
The frog is a bird and the dolphin is a crustacean and the zebra is a arachnid and the octopus is a crustacean and the slug is a mammal and the cheetah is a arachnid.,animal_class,6,all_false,0,6,0,"[""The frog is a bird."", ""The dolphin is a crustacean."", ""The zebra is a arachnid."", ""The octopus is a crustacean."", ""The slug is a mammal."", ""The cheetah is a arachnid.""]","[0, 0, 0, 0, 0, 0]"
Ernesto Blanco lived in the U.S and George Devol lived in Hungary and Carl Wilhelm Siemens lived in Germany and Evangelista Torricelli lived in Italy.,inventors,4,dilute_1false,3,1,0,"[""Ernesto Blanco lived in the U.S."", ""George Devol lived in Hungary."", ""Carl Wilhelm Siemens lived in Germany."", ""Evangelista Torricelli lived in Italy.""]","[1, 0, 1, 1]"
The squirrel is a mammal and the peacock is a bird and the moose is a mammal and the cassowary is a bird.,animal_class,4,all_true,4,0,1,"[""The squirrel is a mammal."", ""The peacock is a bird."", ""The moose is a mammal."", ""The cassowary is a bird.""]","[1, 1, 1, 1]"
The city of Cancun is in Niger and the city of Deyang is in Algeria and the city of Cheongju-si is in the Philippines and the city of Lyon is in Nicaragua.,cities,4,all_false,0,4,0,"[""The city of Cancun is in Niger."", ""The city of Deyang is in Algeria."", ""The city of Cheongju-si is in the Philippines."", ""The city of Lyon is in Nicaragua.""]","[0, 0, 0, 0]"
Gordon Gould lived in Norway and Hippolyte Mège-Mouriès lived in Germany and Charles Townes lived in Croatia and Jacob Perkins lived in Turkey/the U.S and Charles Francis Jenkins lived in Ukraine/the U.S and Jack Kilby lived in Denmark.,inventors,6,all_false,0,6,0,"[""Gordon Gould lived in Norway."", ""Hippolyte M\u00e8ge-Mouri\u00e8s lived in Germany."", ""Charles Townes lived in Croatia."", ""Jacob Perkins lived in Turkey/the U.S."", ""Charles Francis Jenkins lived in Ukraine/the U.S."", ""Jack Kilby lived in Denmark.""]","[0, 0, 0, 0, 0, 0]"
The city of Rohini is in India and the city of Al Ain City is in the United Arab Emirates and the city of Lahore is in Pakistan.,cities,3,all_true,3,0,1,"[""The city of Rohini is in India."", ""The city of Al Ain City is in the United Arab Emirates."", ""The city of Lahore is in Pakistan.""]","[1, 1, 1]"
The Spanish word 'ciudad' means 'city' and the Spanish word 'negro' means 'black'.,sp_en_trans,2,all_true,2,0,1,"[""The Spanish word 'ciudad' means 'city'."", ""The Spanish word 'negro' means 'black'.""]","[1, 1]"
The city of Goyang-si is in South Korea and the city of Addis Ababa is in Ethiopia and the city of Shenzhen is in Nigeria.,cities,3,dilute_1false,2,1,0,"[""The city of Goyang-si is in South Korea."", ""The city of Addis Ababa is in Ethiopia."", ""The city of Shenzhen is in Nigeria.""]","[1, 1, 0]"
The Spanish word 'mes' means 'month' and the Spanish word 'pasar' means 'to pass' and the Spanish word 'negro' means 'black'.,sp_en_trans,3,all_true,3,0,1,"[""The Spanish word 'mes' means 'month'."", ""The Spanish word 'pasar' means 'to pass'."", ""The Spanish word 'negro' means 'black'.""]","[1, 1, 1]"
Molybdenum has the symbol V and Lithium has the symbol Rh.,element_symb,2,all_false,0,2,0,"[""Molybdenum has the symbol V."", ""Lithium has the symbol Rh.""]","[0, 0]"
James Starley lived in Austria/the U.S and Charles Wheatstone lived in Germany and Giovanni Caselli lived in Denmark and James Clerk Maxwell lived in Sweden and Zhores Alferov lived in Hungary/the U.S and George Pullman lived in China.,inventors,6,all_false,0,6,0,"[""James Starley lived in Austria/the U.S."", ""Charles Wheatstone lived in Germany."", ""Giovanni Caselli lived in Denmark."", ""James Clerk Maxwell lived in Sweden."", ""Zhores Alferov lived in Hungary/the U.S."", ""George Pullman lived in China.""]","[0, 0, 0, 0, 0, 0]"
The leopard is a mammal and the chimpanzee is a mammal and the alpaca is a amphibian.,animal_class,3,dilute_1false,2,1,0,"[""The leopard is a mammal."", ""The chimpanzee is a mammal."", ""The alpaca is a amphibian.""]","[1, 1, 0]"
The Spanish word 'tercero' means 'sea' and the Spanish word 'grande' means 'power' and the Spanish word 'lanzar' means 'sea' and the Spanish word 'espalda' means 'fig'.,sp_en_trans,4,all_false,0,4,0,"[""The Spanish word 'tercero' means 'sea'."", ""The Spanish word 'grande' means 'power'."", ""The Spanish word 'lanzar' means 'sea'."", ""The Spanish word 'espalda' means 'fig'.""]","[0, 0, 0, 0]"
The horse is a mammal and the jellyfish is a cnidarian.,animal_class,2,all_true,2,0,1,"[""The horse is a mammal."", ""The jellyfish is a cnidarian.""]","[1, 1]"
The Spanish word 'viejo' means 'to save' and the Spanish word 'diccionario' means 'simple' and the Spanish word 'norte' means 'to multiply' and the Spanish word 'amigo' means 'enough'.,sp_en_trans,4,all_false,0,4,0,"[""The Spanish word 'viejo' means 'to save'."", ""The Spanish word 'diccionario' means 'simple'."", ""The Spanish word 'norte' means 'to multiply'."", ""The Spanish word 'amigo' means 'enough'.""]","[0, 0, 0, 0]"
André-Jacques Garnerin lived in France and Charles Townes lived in the U.S.,inventors,2,all_true,2,0,1,"[""Andr\u00e9-Jacques Garnerin lived in France."", ""Charles Townes lived in the U.S.""]","[1, 1]"
The hummingbird is a crustacean and the tiger is a amphibian and the beaver is a bird.,animal_class,3,all_false,0,3,0,"[""The hummingbird is a crustacean."", ""The tiger is a amphibian."", ""The beaver is a bird.""]","[0, 0, 0]"
Leonardo da Vinci lived in Italy and John Bardeen lived in the U.S and Alfred Nobel lived in Sweden and Ami Argand lived in Switzerland and Willis Carrier lived in the U.S and Charles Babbage lived in the U.S.,inventors,6,dilute_1false,5,1,0,"[""Leonardo da Vinci lived in Italy."", ""John Bardeen lived in the U.S."", ""Alfred Nobel lived in Sweden."", ""Ami Argand lived in Switzerland."", ""Willis Carrier lived in the U.S."", ""Charles Babbage lived in the U.S.""]","[1, 1, 1, 1, 1, 0]"
Mercury has the symbol Sb and Gadolinium has the symbol Xe and Europium has the symbol Pm.,element_symb,3,all_false,0,3,0,"[""Mercury has the symbol Sb."", ""Gadolinium has the symbol Xe."", ""Europium has the symbol Pm.""]","[0, 0, 0]"
The city of Bangkok is in Azerbaijan and the city of Abu Dhabi is in Australia and the city of Londrina is in Norway.,cities,3,all_false,0,3,0,"[""The city of Bangkok is in Azerbaijan."", ""The city of Abu Dhabi is in Australia."", ""The city of Londrina is in Norway.""]","[0, 0, 0]"
The Spanish word 'caminar' means 'cat' and the Spanish word 'lista' means 'voice' and the Spanish word 'espalda' means 'fig'.,sp_en_trans,3,all_false,0,3,0,"[""The Spanish word 'caminar' means 'cat'."", ""The Spanish word 'lista' means 'voice'."", ""The Spanish word 'espalda' means 'fig'.""]","[0, 0, 0]"
The Spanish word 'abrigo' means 'to eat' and the Spanish word 'mientras' means 'moment'.,sp_en_trans,2,all_false,0,2,0,"[""The Spanish word 'abrigo' means 'to eat'."", ""The Spanish word 'mientras' means 'moment'.""]","[0, 0]"
The armadillo is a mammal and the seahorse is a fish and the rhinoceros is a mammal and the octopus is a crustacean and the slug is a mollusk and the platypus is a mammal.,animal_class,6,dilute_1false,5,1,0,"[""The armadillo is a mammal."", ""The seahorse is a fish."", ""The rhinoceros is a mammal."", ""The octopus is a crustacean."", ""The slug is a mollusk."", ""The platypus is a mammal.""]","[1, 1, 1, 0, 1, 1]"
John Shepherd-Barron lived in Austria and Benjamin Rubin lived in Croatia and William Kelly lived in the Soviet Union and Marie Curie lived in Poland/Germany and Hans Berger lived in the Soviet Union and Frank Bunker Gilbreth lived in Poland/France.,inventors,6,all_false,0,6,0,"[""John Shepherd-Barron lived in Austria."", ""Benjamin Rubin lived in Croatia."", ""William Kelly lived in the Soviet Union."", ""Marie Curie lived in Poland/Germany."", ""Hans Berger lived in the Soviet Union."", ""Frank Bunker Gilbreth lived in Poland/France.""]","[0, 0, 0, 0, 0, 0]"
The Spanish word 'dedo' means 'finger' and the Spanish word 'mes' means 'first' and the Spanish word 'pensar' means 'to think' and the Spanish word 'ala' means 'wing'.,sp_en_trans,4,dilute_1false,3,1,0,"[""The Spanish word 'dedo' means 'finger'."", ""The Spanish word 'mes' means 'first'."", ""The Spanish word 'pensar' means 'to think'."", ""The Spanish word 'ala' means 'wing'.""]","[1, 0, 1, 1]"
The city of Kawaguchi is in Japan and the city of Almaty is in Finland.,cities,2,dilute_1false,1,1,0,"[""The city of Kawaguchi is in Japan."", ""The city of Almaty is in Finland.""]","[1, 0]"
The tortoise is a reptile and the horse is a mammal and the ostrich is a bird and the zebra is a mammal and the porcupine is a mammal and the cow is a mammal.,animal_class,6,all_true,6,0,1,"[""The tortoise is a reptile."", ""The horse is a mammal."", ""The ostrich is a bird."", ""The zebra is a mammal."", ""The porcupine is a mammal."", ""The cow is a mammal.""]","[1, 1, 1, 1, 1, 1]"
Yoshua Bengio lived in Canada/the U.S and George de Mestral lived in Poland/France and Mary Phelps Jacob lived in Croatia and Jean-Bernard-Léon Foucault lived in Germany and Frederick G. Creed lived in the U.S and Joseph Henry lived in Scotland.,inventors,6,all_false,0,6,0,"[""Yoshua Bengio lived in Canada/the U.S."", ""George de Mestral lived in Poland/France."", ""Mary Phelps Jacob lived in Croatia."", ""Jean-Bernard-L\u00e9on Foucault lived in Germany."", ""Frederick G. Creed lived in the U.S."", ""Joseph Henry lived in Scotland.""]","[0, 0, 0, 0, 0, 0]"
The city of Langfang is in China and the city of Belo Horizonte is in Brazil and the city of Cimahi is in Cambodia and the city of Sambhaji Nagar is in India and the city of Kanpur is in India and the city of Londrina is in Brazil.,cities,6,dilute_1false,5,1,0,"[""The city of Langfang is in China."", ""The city of Belo Horizonte is in Brazil."", ""The city of Cimahi is in Cambodia."", ""The city of Sambhaji Nagar is in India."", ""The city of Kanpur is in India."", ""The city of Londrina is in Brazil.""]","[1, 1, 0, 1, 1, 1]"
Xenon has the symbol Hf and Thorium has the symbol Ac and Scandium has the symbol Kr and Lutetium has the symbol V.,element_symb,4,all_false,0,4,0,"[""Xenon has the symbol Hf."", ""Thorium has the symbol Ac."", ""Scandium has the symbol Kr."", ""Lutetium has the symbol V.""]","[0, 0, 0, 0]"
Platinum has the symbol S and Dysprosium has the symbol I.,element_symb,2,all_false,0,2,0,"[""Platinum has the symbol S."", ""Dysprosium has the symbol I.""]","[0, 0]"
