statement,topic,truth_label,entity,dedup_identity,source_r1_row_indices,source_r1_conjunct_refs,n_r1_rows,n_r1_conjunct_occurrences,absence_reason
The city of Klang is in South Africa.,cities,0,Klang,cities::The city of Klang is in South Africa.,"[98, 2363, 3265, 3405, 4786, 6740, 7267, 7588]","[""98:B"", ""2363:B"", ""3265:B"", ""3405:B"", ""4786:B"", ""6740:B"", ""7267:B"", ""7588:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Kleinzschocher is in China.,cities,0,Kleinzschocher,cities::The city of Kleinzschocher is in China.,"[2362, 2594, 2918, 3272, 3650, 4862, 4900, 4980, 5457, 6149, 6509, 6689, 6978, 7133, 7611, 7858]","[""2362:B"", ""2594:B"", ""2918:B"", ""3272:B"", ""3650:B"", ""4862:B"", ""4900:B"", ""4980:B"", ""5457:B"", ""6149:B"", ""6509:B"", ""6689:B"", ""6978:B"", ""7133:B"", ""7611:B"", ""7858:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Kolhapur is in the Republic of the Congo.,cities,0,Kolhapur,cities::The city of Kolhapur is in the Republic of the Congo.,"[617, 2055, 2212, 2261, 3302, 4697, 5379, 7178]","[""617:A"", ""2055:A"", ""2212:A"", ""2261:A"", ""3302:A"", ""4697:A"", ""5379:A"", ""7178:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Kota Kinabalu is in Ukraine.,cities,0,Kota Kinabalu,cities::The city of Kota Kinabalu is in Ukraine.,"[414, 910, 1018, 1615, 2773, 2842, 3077, 3205]","[""414:B"", ""910:B"", ""1018:B"", ""1615:B"", ""2773:B"", ""2842:B"", ""3077:B"", ""3205:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Krakow is in Chile.,cities,0,Krakow,cities::The city of Krakow is in Chile.,"[737, 2569, 4617, 4889, 4903, 5187, 6643, 6677]","[""737:B"", ""2569:B"", ""4617:B"", ""4889:B"", ""4903:B"", ""5187:B"", ""6643:B"", ""6677:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Krasnoyarsk is in Kyrgyzstan.,cities,0,Krasnoyarsk,cities::The city of Krasnoyarsk is in Kyrgyzstan.,"[228, 1794, 3377, 5157, 5718, 6519, 7101, 7659]","[""228:B"", ""1794:B"", ""3377:B"", ""5157:B"", ""5718:B"", ""6519:B"", ""7101:B"", ""7659:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Kuala Lumpur is in Côte d'Ivoire.,cities,0,Kuala Lumpur,cities::The city of Kuala Lumpur is in Côte d'Ivoire.,"[363, 1196, 1242, 1487, 2673, 3696, 4929, 7227]","[""363:A"", ""1196:A"", ""1242:A"", ""1487:A"", ""2673:A"", ""3696:A"", ""4929:A"", ""7227:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Kunming is in Italy.,cities,0,Kunming,cities::The city of Kunming is in Italy.,"[660, 1840, 2275, 2421, 3932, 4727, 5259, 5600]","[""660:B"", ""1840:B"", ""2275:B"", ""2421:B"", ""3932:B"", ""4727:B"", ""5259:B"", ""5600:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Kyiv is in Iran.,cities,0,Kyiv,cities::The city of Kyiv is in Iran.,"[515, 791, 2456, 2891, 2981, 4509, 4726, 7304]","[""515:A"", ""791:A"", ""2456:A"", ""2891:A"", ""2981:A"", ""4509:A"", ""4726:A"", ""7304:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Laibin is in Bulgaria.,cities,0,Laibin,cities::The city of Laibin is in Bulgaria.,"[2724, 2969, 3038, 4689, 4989, 6926, 6938, 7954]","[""2724:B"", ""2969:B"", ""3038:B"", ""4689:B"", ""4989:B"", ""6926:B"", ""6938:B"", ""7954:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Leon de los Aldama is in the Republic of the Congo.,cities,0,Leon de los Aldama,cities::The city of Leon de los Aldama is in the Republic of the Congo.,"[731, 2223, 4274, 5768, 5900, 6336, 6860, 6884]","[""731:A"", ""2223:A"", ""4274:A"", ""5768:A"", ""5900:A"", ""6336:A"", ""6860:A"", ""6884:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Lianyungang is in Romania.,cities,0,Lianyungang,cities::The city of Lianyungang is in Romania.,"[1078, 1522, 2784, 5571, 5908, 6288, 6375, 7902]","[""1078:B"", ""1522:B"", ""2784:B"", ""5571:B"", ""5908:B"", ""6288:B"", ""6375:B"", ""7902:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Linfen is in Uzbekistan.,cities,0,Linfen,cities::The city of Linfen is in Uzbekistan.,"[575, 710, 976, 1726, 4643, 5820, 5898, 6298]","[""575:B"", ""710:B"", ""976:B"", ""1726:B"", ""4643:B"", ""5820:B"", ""5898:B"", ""6298:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Lodz is in Niger.,cities,0,Lodz,cities::The city of Lodz is in Niger.,"[2565, 3218, 4321, 5492, 6478, 6487, 6991, 7425]","[""2565:A"", ""3218:A"", ""4321:A"", ""5492:A"", ""6478:A"", ""6487:A"", ""6991:A"", ""7425:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Lubumbashi is in Chile.,cities,0,Lubumbashi,cities::The city of Lubumbashi is in Chile.,"[1310, 2622, 2804, 4079, 6091, 6226, 6947, 7273]","[""1310:B"", ""2622:B"", ""2804:B"", ""4079:B"", ""6091:B"", ""6226:B"", ""6947:B"", ""7273:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Luzhou is in Guinea.,cities,0,Luzhou,cities::The city of Luzhou is in Guinea.,"[2138, 2139, 2151, 2257, 3524, 6010, 6213, 7323]","[""2138:B"", ""2139:B"", ""2151:B"", ""2257:B"", ""3524:B"", ""6010:B"", ""6213:B"", ""7323:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Maceio is in Senegal.,cities,0,Maceio,cities::The city of Maceio is in Senegal.,"[953, 1779, 3183, 4897, 5357, 5367, 5682, 5711]","[""953:B"", ""1779:B"", ""3183:B"", ""4897:B"", ""5357:B"", ""5367:B"", ""5682:B"", ""5711:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Madurai is in Yemen.,cities,0,Madurai,cities::The city of Madurai is in Yemen.,"[180, 704, 750, 798, 1324, 1570, 2692, 3662, 3905, 4221, 4307, 4479, 4994, 5282, 5327, 5422, 5932, 6565, 6607, 7089, 7179, 7446, 7524, 7749]","[""180:B"", ""704:B"", ""750:B"", ""798:B"", ""1324:B"", ""1570:B"", ""2692:B"", ""3662:A"", ""3905:A"", ""4221:A"", ""4307:B"", ""4479:B"", ""4994:B"", ""5282:B"", ""5327:B"", ""5422:A"", ""5932:A"", ""6565:B"", ""6607:A"", ""7089:A"", ""7179:B"", ""7446:A"", ""7524:B"", ""7749:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Makassar is in the United States.,cities,0,Makassar,cities::The city of Makassar is in the United States.,"[276, 540, 543, 1424, 4662, 4820, 4843, 5035]","[""276:B"", ""540:B"", ""543:B"", ""1424:B"", ""4662:B"", ""4820:B"", ""4843:B"", ""5035:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Malang is in Tanzania.,cities,0,Malang,cities::The city of Malang is in Tanzania.,"[604, 1419, 1738, 1802, 2090, 6511, 7562, 7686]","[""604:A"", ""1419:A"", ""1738:A"", ""1802:A"", ""2090:A"", ""6511:A"", ""7562:A"", ""7686:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Marseille is in Romania.,cities,0,Marseille,cities::The city of Marseille is in Romania.,"[1977, 2946, 4147, 4810, 5082, 5863, 7174, 7908]","[""1977:A"", ""2946:A"", ""4147:A"", ""4810:A"", ""5082:A"", ""5863:A"", ""7174:A"", ""7908:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Matsuyama is in Poland.,cities,0,Matsuyama,cities::The city of Matsuyama is in Poland.,"[178, 1016, 1886, 2185, 2854, 3792, 4161, 7429]","[""178:A"", ""1016:A"", ""1886:A"", ""2185:A"", ""2854:A"", ""3792:A"", ""4161:A"", ""7429:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Meizhou is in Lebanon.,cities,0,Meizhou,cities::The city of Meizhou is in Lebanon.,"[2440, 3688, 4294, 4335, 4484, 5184, 6521, 7745]","[""2440:B"", ""3688:B"", ""4294:B"", ""4335:B"", ""4484:B"", ""5184:B"", ""6521:B"", ""7745:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
"The city of Mianzhu, Deyang, Sichuan is in Azerbaijan.",cities,0,"Mianzhu, Deyang, Sichuan","cities::The city of Mianzhu, Deyang, Sichuan is in Azerbaijan.","[1111, 1610, 2312, 2411, 2805, 6956, 7199, 7334]","[""1111:A"", ""1610:A"", ""2312:A"", ""2411:A"", ""2805:A"", ""6956:A"", ""7199:A"", ""7334:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of N'Djamena is in Ethiopia.,cities,0,N'Djamena,cities::The city of N'Djamena is in Ethiopia.,"[961, 1152, 2275, 2495, 3063, 3172, 3545, 3551, 3932, 3977, 4727, 5312, 5600, 7078, 7087, 7802]","[""961:A"", ""1152:A"", ""2275:A"", ""2495:A"", ""3063:A"", ""3172:A"", ""3545:A"", ""3551:A"", ""3932:A"", ""3977:A"", ""4727:A"", ""5312:A"", ""5600:A"", ""7078:A"", ""7087:A"", ""7802:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nagoya is in the Dominican Republic.,cities,0,Nagoya,cities::The city of Nagoya is in the Dominican Republic.,"[514, 636, 1040, 1982, 2295, 2346, 3651, 3791, 3890, 4841, 4948, 6404, 6618, 7114, 7216, 7221]","[""514:B"", ""636:B"", ""1040:B"", ""1982:B"", ""2295:B"", ""2346:B"", ""3651:B"", ""3791:B"", ""3890:B"", ""4841:B"", ""4948:B"", ""6404:B"", ""6618:B"", ""7114:B"", ""7216:B"", ""7221:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Najran is in the United Arab Emirates.,cities,0,Najran,cities::The city of Najran is in the United Arab Emirates.,"[1787, 2574, 3208, 4836, 5295, 5644, 5761, 7041]","[""1787:A"", ""2574:A"", ""3208:A"", ""4836:A"", ""5295:A"", ""5644:A"", ""5761:A"", ""7041:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nanchang is in Burundi.,cities,0,Nanchang,cities::The city of Nanchang is in Burundi.,"[1177, 1360, 1450, 3163, 3195, 3505, 4610, 5775]","[""1177:B"", ""1360:B"", ""1450:B"", ""3163:B"", ""3195:B"", ""3505:B"", ""4610:B"", ""5775:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nanded is in Pakistan.,cities,0,Nanded,cities::The city of Nanded is in Pakistan.,"[281, 324, 4684, 4846, 6526, 6563, 6861, 7768]","[""281:B"", ""324:B"", ""4684:B"", ""4846:B"", ""6526:B"", ""6563:B"", ""6861:B"", ""7768:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nanning is in Belarus.,cities,0,Nanning,cities::The city of Nanning is in Belarus.,"[731, 2223, 2455, 3394, 4274, 4990, 6078, 6336]","[""731:B"", ""2223:B"", ""2455:B"", ""3394:B"", ""4274:B"", ""4990:B"", ""6078:B"", ""6336:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nashik is in Azerbaijan.,cities,0,Nashik,cities::The city of Nashik is in Azerbaijan.,"[1543, 1918, 3282, 3472, 3634, 5958, 6959, 7662]","[""1543:A"", ""1918:A"", ""3282:A"", ""3472:A"", ""3634:A"", ""5958:A"", ""6959:A"", ""7662:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Ningbo is in the Republic of the Congo.,cities,0,Ningbo,cities::The city of Ningbo is in the Republic of the Congo.,"[3050, 3368, 4416, 4871, 5248, 6075, 6537, 7210]","[""3050:B"", ""3368:B"", ""4416:B"", ""4871:B"", ""5248:B"", ""6075:B"", ""6537:B"", ""7210:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nouakchott is in Saudi Arabia.,cities,0,Nouakchott,cities::The city of Nouakchott is in Saudi Arabia.,"[1195, 1407, 2347, 2443, 4785, 6442, 6863, 7520]","[""1195:B"", ""1407:B"", ""2347:B"", ""2443:B"", ""4785:B"", ""6442:B"", ""6863:B"", ""7520:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Nova Iguacu is in Sudan.,cities,0,Nova Iguacu,cities::The city of Nova Iguacu is in Sudan.,"[581, 1062, 3662, 3905, 4221, 4420, 5039, 6607]","[""581:B"", ""1062:B"", ""3662:B"", ""3905:B"", ""4221:B"", ""4420:B"", ""5039:B"", ""6607:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Okayama is in Somalia.,cities,0,Okayama,cities::The city of Okayama is in Somalia.,"[162, 554, 1523, 3291, 4088, 4683, 4946, 6119]","[""162:B"", ""554:B"", ""1523:B"", ""3291:B"", ""4088:B"", ""4683:B"", ""4946:B"", ""6119:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Oklahoma City is in Thailand.,cities,0,Oklahoma City,cities::The city of Oklahoma City is in Thailand.,"[1356, 1875, 3209, 4129, 5784, 5789, 6382, 6688]","[""1356:A"", ""1875:A"", ""3209:A"", ""4129:A"", ""5784:A"", ""5789:A"", ""6382:A"", ""6688:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Onitsha is in Vietnam.,cities,0,Onitsha,cities::The city of Onitsha is in Vietnam.,"[5, 478, 1210, 1279, 1591, 3382, 4645, 5124]","[""5:B"", ""478:B"", ""1210:B"", ""1279:B"", ""1591:B"", ""3382:B"", ""4645:B"", ""5124:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Orenburg is in Latvia.,cities,0,Orenburg,cities::The city of Orenburg is in Latvia.,"[1204, 1421, 1678, 2280, 3817, 5288, 5396, 5485]","[""1204:A"", ""1421:A"", ""1678:A"", ""2280:A"", ""3817:A"", ""5288:A"", ""5396:A"", ""5485:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Osaka is in Tajikistan.,cities,0,Osaka,cities::The city of Osaka is in Tajikistan.,"[88, 170, 486, 1897, 3159, 3319, 3954, 4639, 4685, 4741, 5015, 5365, 5757, 6338, 7002, 7353]","[""88:A"", ""170:A"", ""486:A"", ""1897:A"", ""3159:A"", ""3319:A"", ""3954:A"", ""4639:A"", ""4685:A"", ""4741:A"", ""5015:A"", ""5365:A"", ""5757:A"", ""6338:A"", ""7002:A"", ""7353:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Paranaque City is in Italy.,cities,0,Paranaque City,cities::The city of Paranaque City is in Italy.,"[1024, 2363, 3265, 4621, 4786, 5812, 7267, 7646]","[""1024:A"", ""2363:A"", ""3265:A"", ""4621:A"", ""4786:A"", ""5812:A"", ""7267:A"", ""7646:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Peshawar is in Sweden.,cities,0,Peshawar,cities::The city of Peshawar is in Sweden.,"[1639, 2199, 3710, 3834, 5565, 6391, 6415, 6660]","[""1639:A"", ""2199:A"", ""3710:A"", ""3834:A"", ""5565:A"", ""6391:A"", ""6415:A"", ""6660:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Pietermaritzburg is in Latvia.,cities,0,Pietermaritzburg,cities::The city of Pietermaritzburg is in Latvia.,"[2034, 2789, 3182, 4232, 4536, 4648, 6236, 6881]","[""2034:B"", ""2789:B"", ""3182:B"", ""4232:B"", ""4536:B"", ""4648:B"", ""6236:B"", ""6881:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Pimpri is in Sweden.,cities,0,Pimpri,cities::The city of Pimpri is in Sweden.,"[443, 1475, 1493, 1553, 2601, 4480, 5442, 6940]","[""443:B"", ""1475:B"", ""1493:B"", ""1553:B"", ""2601:B"", ""4480:B"", ""5442:B"", ""6940:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Pontianak is in Mongolia.,cities,0,Pontianak,cities::The city of Pontianak is in Mongolia.,"[160, 1029, 1080, 1685, 1930, 2697, 3019, 4025]","[""160:A"", ""1029:A"", ""1080:A"", ""1685:A"", ""1930:A"", ""2697:A"", ""3019:A"", ""4025:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Port Harcourt is in Malaysia.,cities,0,Port Harcourt,cities::The city of Port Harcourt is in Malaysia.,"[826, 1030, 2557, 3613, 3702, 4410, 5212, 7751]","[""826:B"", ""1030:B"", ""2557:B"", ""3613:B"", ""3702:B"", ""4410:B"", ""5212:B"", ""7751:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Porto Velho is in Uzbekistan.,cities,0,Porto Velho,cities::The city of Porto Velho is in Uzbekistan.,"[2067, 2217, 3245, 3741, 4051, 4273, 7097, 7706]","[""2067:A"", ""2217:A"", ""3245:A"", ""3741:A"", ""4051:A"", ""4273:A"", ""7097:A"", ""7706:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Pretoria is in Mongolia.,cities,0,Pretoria,cities::The city of Pretoria is in Mongolia.,"[1452, 2673, 3696, 3961, 4424, 4929, 7227, 7397]","[""1452:B"", ""2673:B"", ""3696:B"", ""3961:B"", ""4424:B"", ""4929:B"", ""7227:B"", ""7397:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Puducherry is in Kuwait.,cities,0,Puducherry,cities::The city of Puducherry is in Kuwait.,"[1078, 1598, 2258, 2784, 5571, 5607, 6288, 6470]","[""1078:A"", ""1598:A"", ""2258:A"", ""2784:A"", ""5571:A"", ""5607:A"", ""6288:A"", ""6470:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Quetta is in Senegal.,cities,0,Quetta,cities::The city of Quetta is in Senegal.,"[1017, 1204, 2819, 4115, 5288, 5396, 5485, 7034]","[""1017:B"", ""1204:B"", ""2819:B"", ""4115:B"", ""5288:B"", ""5396:B"", ""5485:B"", ""7034:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Quito is in France.,cities,0,Quito,cities::The city of Quito is in France.,"[20, 312, 1070, 2000, 3129, 5387, 5795, 7075]","[""20:B"", ""312:B"", ""1070:B"", ""2000:B"", ""3129:B"", ""5387:B"", ""5795:B"", ""7075:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Qujing is in Yemen.,cities,0,Qujing,cities::The city of Qujing is in Yemen.,"[54, 145, 2599, 2769, 3139, 4349, 5070, 7547]","[""54:B"", ""145:B"", ""2599:B"", ""2769:B"", ""3139:B"", ""4349:B"", ""5070:B"", ""7547:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Quzhou is in Thailand.,cities,0,Quzhou,cities::The city of Quzhou is in Thailand.,"[280, 1343, 3424, 4455, 4905, 5998, 7307, 7642]","[""280:A"", ""1343:A"", ""3424:A"", ""4455:A"", ""4905:A"", ""5998:A"", ""7307:A"", ""7642:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Reynosa is in Niger.,cities,0,Reynosa,cities::The city of Reynosa is in Niger.,"[1248, 2976, 3481, 4522, 4884, 5337, 5676, 7461]","[""1248:A"", ""2976:A"", ""3481:A"", ""4522:A"", ""4884:A"", ""5337:A"", ""5676:A"", ""7461:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Riga is in Egypt.,cities,0,Riga,cities::The city of Riga is in Egypt.,"[391, 2717, 2857, 4251, 5578, 6162, 6438, 7183]","[""391:B"", ""2717:B"", ""2857:B"", ""4251:B"", ""5578:B"", ""6162:B"", ""6438:B"", ""7183:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Rio de Janeiro is in Cambodia.,cities,0,Rio de Janeiro,cities::The city of Rio de Janeiro is in Cambodia.,"[2933, 3808, 4212, 4614, 4796, 5167, 6761, 6907]","[""2933:A"", ""3808:A"", ""4212:A"", ""4614:A"", ""4796:A"", ""5167:A"", ""6761:A"", ""6907:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Rizhao is in Zimbabwe.,cities,0,Rizhao,cities::The city of Rizhao is in Zimbabwe.,"[526, 1897, 3159, 4612, 4639, 4756, 6454, 7353]","[""526:B"", ""1897:B"", ""3159:B"", ""4612:B"", ""4639:B"", ""4756:B"", ""6454:B"", ""7353:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Rohini is in Turkey.,cities,0,Rohini,cities::The city of Rohini is in Turkey.,"[183, 228, 892, 1794, 3377, 3600, 4773, 7659]","[""183:A"", ""228:A"", ""892:A"", ""1794:A"", ""3377:A"", ""3600:A"", ""4773:A"", ""7659:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Rostov-na-Donu is in Algeria.,cities,0,Rostov-na-Donu,cities::The city of Rostov-na-Donu is in Algeria.,"[993, 1557, 2572, 3631, 3953, 4555, 5399, 5638]","[""993:B"", ""1557:B"", ""2572:B"", ""3631:B"", ""3953:B"", ""4555:B"", ""5399:B"", ""5638:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Ryazan' is in India.,cities,0,Ryazan',cities::The city of Ryazan' is in India.,"[236, 1006, 3092, 4133, 4346, 5765, 6631, 7640]","[""236:B"", ""1006:B"", ""3092:B"", ""4133:B"", ""4346:B"", ""5765:B"", ""6631:B"", ""7640:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Saint Petersburg is in Kuwait.,cities,0,Saint Petersburg,cities::The city of Saint Petersburg is in Kuwait.,"[622, 2139, 2151, 2257, 3279, 4082, 4984, 6213]","[""622:A"", ""2139:A"", ""2151:A"", ""2257:A"", ""3279:A"", ""4082:A"", ""4984:A"", ""6213:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Salta is in Cambodia.,cities,0,Salta,cities::The city of Salta is in Cambodia.,"[346, 687, 1219, 3005, 3604, 6958, 6979, 7440]","[""346:B"", ""687:B"", ""1219:B"", ""3005:B"", ""3604:B"", ""6958:B"", ""6979:B"", ""7440:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of San Miguel de Tucuman is in Finland.,cities,0,San Miguel de Tucuman,cities::The city of San Miguel de Tucuman is in Finland.,"[3, 472, 1769, 3171, 3947, 5431, 6407, 7972]","[""3:A"", ""472:A"", ""1769:A"", ""3171:A"", ""3947:A"", ""5431:A"", ""6407:A"", ""7972:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of San Pedro Sula is in Burundi.,cities,0,San Pedro Sula,cities::The city of San Pedro Sula is in Burundi.,"[324, 1567, 2529, 2555, 4294, 4335, 4663, 4684, 5184, 5563, 6526, 6685, 7362, 7534, 7745, 7768]","[""324:A"", ""1567:A"", ""2529:A"", ""2555:A"", ""4294:A"", ""4335:A"", ""4663:A"", ""4684:A"", ""5184:A"", ""5563:A"", ""6526:A"", ""6685:A"", ""7362:A"", ""7534:A"", ""7745:A"", ""7768:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Sanaa is in Niger.,cities,0,Sanaa,cities::The city of Sanaa is in Niger.,"[199, 715, 1387, 3056, 3350, 3619, 4062, 5952]","[""199:A"", ""715:A"", ""1387:A"", ""3056:A"", ""3350:A"", ""3619:A"", ""4062:A"", ""5952:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Santa Maria Chimalhuacan is in Kenya.,cities,0,Santa Maria Chimalhuacan,cities::The city of Santa Maria Chimalhuacan is in Kenya.,"[1543, 1918, 3472, 3768, 3876, 5511, 5958, 7482]","[""1543:B"", ""1918:B"", ""3472:B"", ""3768:B"", ""3876:B"", ""5511:B"", ""5958:B"", ""7482:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Santiago de Queretaro is in Somalia.,cities,0,Santiago de Queretaro,cities::The city of Santiago de Queretaro is in Somalia.,"[1325, 1787, 1895, 3208, 3233, 5295, 5761, 5849]","[""1325:B"", ""1787:B"", ""1895:B"", ""3208:B"", ""3233:B"", ""5295:B"", ""5761:B"", ""5849:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Santiago de los Caballeros is in China.,cities,0,Santiago de los Caballeros,cities::The city of Santiago de los Caballeros is in China.,"[826, 1256, 1314, 1360, 1450, 1799, 2557, 2762, 3195, 3246, 3505, 4319, 4410, 5212, 6814, 6821]","[""826:A"", ""1256:A"", ""1314:A"", ""1360:A"", ""1450:A"", ""1799:A"", ""2557:A"", ""2762:A"", ""3195:A"", ""3246:A"", ""3505:A"", ""4319:A"", ""4410:A"", ""5212:A"", ""6814:A"", ""6821:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Santo Domingo Este is in Colombia.,cities,0,Santo Domingo Este,cities::The city of Santo Domingo Este is in Colombia.,"[358, 990, 1327, 2918, 3272, 5708, 6509, 7133]","[""358:A"", ""990:A"", ""1327:A"", ""2918:A"", ""3272:A"", ""5708:A"", ""6509:A"", ""7133:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Santo Domingo Oeste is in Cameroon.,cities,0,Santo Domingo Oeste,cities::The city of Santo Domingo Oeste is in Cameroon.,"[235, 1000, 1394, 3066, 3075, 3497, 5111, 6021]","[""235:B"", ""1000:B"", ""1394:B"", ""3066:B"", ""3075:B"", ""3497:B"", ""5111:B"", ""6021:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Sapporo is in Tanzania.,cities,0,Sapporo,cities::The city of Sapporo is in Tanzania.,"[150, 848, 1751, 2179, 2389, 2736, 3176, 6365]","[""150:A"", ""848:A"", ""1751:A"", ""2179:A"", ""2389:A"", ""2736:A"", ""3176:A"", ""6365:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Saratov is in Poland.,cities,0,Saratov,cities::The city of Saratov is in Poland.,"[649, 2057, 4007, 4640, 4860, 4915, 6737, 7098]","[""649:B"", ""2057:B"", ""4007:B"", ""4640:B"", ""4860:B"", ""4915:B"", ""6737:B"", ""7098:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Seoul is in Zimbabwe.,cities,0,Seoul,cities::The city of Seoul is in Zimbabwe.,"[613, 735, 2101, 2969, 2975, 3314, 3908, 4448, 4689, 5589, 6055, 6189, 6926, 7327, 7799, 7954]","[""613:A"", ""735:A"", ""2101:A"", ""2969:A"", ""2975:A"", ""3314:A"", ""3908:A"", ""4448:A"", ""4689:A"", ""5589:A"", ""6055:A"", ""6189:A"", ""6926:A"", ""7327:A"", ""7799:A"", ""7954:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The city of Shah Alam is in Peru.,cities,0,Shah Alam,cities::The city of Shah Alam is in Peru.,"[280, 586, 1076, 2695, 2849, 2868, 2932, 3295, 3424, 3624, 3732, 3756, 4387, 4455, 5219, 5998]","[""280:B"", ""586:A"", ""1076:A"", ""2695:A"", ""2849:B"", ""2868:A"", ""2932:A"", ""3295:B"", ""3424:B"", ""3624:A"", ""3732:A"", ""3756:A"", ""4387:B"", ""4455:B"", ""5219:B"", ""5998:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
