entity_pair_id,topic,partition,n_rows
"sp_en_trans::[""conejo"",""sur""]",sp_en_trans,train,16
"sp_en_trans::[""construir"",""jugar""]",sp_en_trans,train,16
"sp_en_trans::[""delgado"",""hijo""]",sp_en_trans,train,16
"sp_en_trans::[""desarrollar"",""escuela""]",sp_en_trans,train,16
"sp_en_trans::[""desarrollar"",""vender""]",sp_en_trans,train,16
"sp_en_trans::[""desarrollar"",""viejo""]",sp_en_trans,train,16
"sp_en_trans::[""ejemplo"",""gato""]",sp_en_trans,test,16
"sp_en_trans::[""elegir"",""suficiente""]",sp_en_trans,train,16
"sp_en_trans::[""enemigo"",""esposa""]",sp_en_trans,test,16
"sp_en_trans::[""enviar"",""hombro""]",sp_en_trans,train,16
"sp_en_trans::[""esquina"",""pero""]",sp_en_trans,train,16
"sp_en_trans::[""familia"",""guardar""]",sp_en_trans,train,16
"sp_en_trans::[""familia"",""lento""]",sp_en_trans,train,16
"sp_en_trans::[""familia"",""vender""]",sp_en_trans,test,16
"sp_en_trans::[""fuego"",""plata""]",sp_en_trans,train,16
"sp_en_trans::[""fuerza"",""madre""]",sp_en_trans,train,16
"sp_en_trans::[""gato"",""vender""]",sp_en_trans,train,16
"sp_en_trans::[""grupo"",""oveja""]",sp_en_trans,train,16
"sp_en_trans::[""grupo"",""semilla""]",sp_en_trans,train,16
"sp_en_trans::[""guardar"",""vecino""]",sp_en_trans,test,16
"sp_en_trans::[""hablar"",""perro""]",sp_en_trans,train,16
"sp_en_trans::[""hermana"",""huevo""]",sp_en_trans,train,16
"sp_en_trans::[""hermana"",""veinte""]",sp_en_trans,train,16
"sp_en_trans::[""hielo"",""palabra""]",sp_en_trans,train,16
"sp_en_trans::[""higo"",""ola""]",sp_en_trans,train,16
"sp_en_trans::[""higo"",""oscuro""]",sp_en_trans,train,16
"sp_en_trans::[""higo"",""roca""]",sp_en_trans,train,16
"sp_en_trans::[""hijo"",""invierno""]",sp_en_trans,train,16
"sp_en_trans::[""historia"",""siete""]",sp_en_trans,train,16
"sp_en_trans::[""hola"",""mes""]",sp_en_trans,test,16
"sp_en_trans::[""hombro"",""ocupado""]",sp_en_trans,train,16
"sp_en_trans::[""hueso"",""morir""]",sp_en_trans,train,16
"sp_en_trans::[""hueso"",""mujer""]",sp_en_trans,train,16
"sp_en_trans::[""imaginar"",""oveja""]",sp_en_trans,train,16
"sp_en_trans::[""imaginar"",""pero""]",sp_en_trans,train,16
"sp_en_trans::[""imaginar"",""presente""]",sp_en_trans,train,16
"sp_en_trans::[""imaginar"",""tercero""]",sp_en_trans,test,16
"sp_en_trans::[""invierno"",""mar""]",sp_en_trans,test,16
"sp_en_trans::[""invierno"",""miedo""]",sp_en_trans,train,16
"sp_en_trans::[""invierno"",""potencia""]",sp_en_trans,train,16
"sp_en_trans::[""isla"",""tres""]",sp_en_trans,train,16
"sp_en_trans::[""lanzar"",""rosa""]",sp_en_trans,train,16
"sp_en_trans::[""leer"",""prueba""]",sp_en_trans,train,16
"sp_en_trans::[""leer"",""temprano""]",sp_en_trans,test,16
"sp_en_trans::[""lento"",""perro""]",sp_en_trans,train,16
"sp_en_trans::[""lugar"",""uno""]",sp_en_trans,train,16
"sp_en_trans::[""madre"",""mapa""]",sp_en_trans,train,16
"sp_en_trans::[""mapa"",""potencia""]",sp_en_trans,train,16
"sp_en_trans::[""mar"",""pasar""]",sp_en_trans,train,16
"sp_en_trans::[""mezclar"",""viento""]",sp_en_trans,train,16
"sp_en_trans::[""miedo"",""resultado""]",sp_en_trans,train,16
"sp_en_trans::[""moderno"",""problema""]",sp_en_trans,train,16
"sp_en_trans::[""morir"",""mujer""]",sp_en_trans,test,16
"sp_en_trans::[""nada"",""sol""]",sp_en_trans,train,16
"sp_en_trans::[""negro"",""nombre""]",sp_en_trans,train,16
"sp_en_trans::[""noche"",""temprano""]",sp_en_trans,train,16
"sp_en_trans::[""oferta"",""semilla""]",sp_en_trans,train,16
"sp_en_trans::[""oferta"",""siete""]",sp_en_trans,test,16
"sp_en_trans::[""oferta"",""veinte""]",sp_en_trans,train,16
"sp_en_trans::[""oscuro"",""primero""]",sp_en_trans,test,16
"sp_en_trans::[""pagar"",""persona""]",sp_en_trans,test,16
"sp_en_trans::[""parecer"",""uno""]",sp_en_trans,train,16
"sp_en_trans::[""parte"",""piedra""]",sp_en_trans,train,16
"sp_en_trans::[""presente"",""veinte""]",sp_en_trans,train,16
"sp_en_trans::[""problema"",""veinte""]",sp_en_trans,train,16
"sp_en_trans::[""reloj"",""suficiente""]",sp_en_trans,train,16
"sp_en_trans::[""sencilla"",""tener""]",sp_en_trans,train,16
"sp_en_trans::[""vender"",""viejo""]",sp_en_trans,train,16
