idx,statement,disjunctA,disjunctB,labelA,labelB,compound_label,n_parts
151,It is the case either that Fossils are the preserved remains or traces of organisms that live in the present or that Chemical reactions involve the rearrangement of atoms to form new substances.,Fossils are the preserved remains or traces of organisms that live in the present,Chemical reactions involve the rearrangement of atoms to form new substances,0,1,1,2
152,It is the case either that the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus) or that DNA erases genetic information in living organisms.,the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus),DNA erases genetic information in living organisms,0,0,0,2
153,"It is the case either that Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays or that the Great Sphinx of Giza is an ancient statue in Egypt.","Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays",the Great Sphinx of Giza is an ancient statue in Egypt,0,1,1,2
154,It is the case either that Migration prevents animals from finding better resources or that the highest point on Earth is at the bottom of the ocean.,Migration prevents animals from finding better resources,the highest point on Earth is at the bottom of the ocean,0,0,0,2
155,"It is the case either that the three states of anti-matter are solid, liquid, and gas or that the largest desert in the world is the Arctic.","the three states of anti-matter are solid, liquid, and gas",the largest desert in the world is the Arctic,0,0,0,2
156,It is the case either that Stars appear to twinkle due to Earth's atmosphere or that the atomic number of an element represents the number of electrons in its nucleus.,Stars appear to twinkle due to Earth's atmosphere,the atomic number of an element represents the number of electrons in its nucleus,1,0,1,2
157,It is the case either that the circulatory system blocks nutrients and oxygen throughout the body or that Inertia is an object's resistance to change in motion.,the circulatory system blocks nutrients and oxygen throughout the body,Inertia is an object's resistance to change in motion,0,1,1,2
158,"It is the case either that the study of the Earth's metaphysical structure, processes, and history is called meta-geology or that the largest country in the world by land area is Russia.","the study of the Earth's metaphysical structure, processes, and history is called meta-geology",the largest country in the world by land area is Russia,0,1,1,2
159,It is the case either that the shortest distance between two points is a curve or that Gravity makes things fall down.,the shortest distance between two points is a curve,Gravity makes things fall down,0,1,1,2
160,It is the case either that the respiratory system prevents the exchange of gases between the body and the environment or that the Sahara is the smallest hot desert.,the respiratory system prevents the exchange of gases between the body and the environment,the Sahara is the smallest hot desert,0,0,0,2
161,It is the case either that the respiratory system allows for the exchange of gases between the body and the environment or that Sunflowers follow the movement of the moon across the sky.,the respiratory system allows for the exchange of gases between the body and the environment,Sunflowers follow the movement of the moon across the sky,1,0,1,2
162,It is the case either that the Earth is flat or that Chemical reactions involve the rearrangement of atoms to form new substances.,the Earth is flat,Chemical reactions involve the rearrangement of atoms to form new substances,0,1,1,2
163,"It is the case either that Polar ice caps are primarily made of fresh water or that the process by which a gas turns directly into a solid, without becoming a liquid, is called deposition.",Polar ice caps are primarily made of fresh water,"the process by which a gas turns directly into a solid, without becoming a liquid, is called deposition",1,0,1,2
164,It is the case either that the planet Mars has the largest volcano in our solar system or that Sound travels through the air as light.,the planet Mars has the largest volcano in our solar system,Sound travels through the air as light,1,0,1,2
165,"It is the case either that the three main types of chemical bonds are covalent, ionic, and non-metallic or that Cars need gasoline or electricity to run.","the three main types of chemical bonds are covalent, ionic, and non-metallic",Cars need gasoline or electricity to run,0,1,1,2
166,It is the case either that the respiratory system prevents the exchange of gases between the body and the environment or that Hybrids are the offspring of identical plants or animals from the same species or varieties.,the respiratory system prevents the exchange of gases between the body and the environment,Hybrids are the offspring of identical plants or animals from the same species or varieties,0,0,0,2
167,It is the case either that DNA erases genetic information in living organisms or that the Earth's stillness on its axis causes day and night.,DNA erases genetic information in living organisms,the Earth's stillness on its axis causes day and night,0,0,0,2
168,It is the case either that the largest desert in the world is the Arctic or that the currency of Japan is the yen.,the largest desert in the world is the Arctic,the currency of Japan is the yen,0,1,1,2
169,It is the case either that Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation or that Water is poisonous to humans.,Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation,Water is poisonous to humans,0,0,0,2
170,It is the case either that the Statue of Liberty is located in Tokyo or that the Nile River is the longest river in the world.,the Statue of Liberty is located in Tokyo,the Nile River is the longest river in the world,0,0,0,2
171,It is the case either that the Statue of Liberty was a gift from Canada or that Cacti store water in their ears.,the Statue of Liberty was a gift from Canada,Cacti store water in their ears,0,0,0,2
172,"It is the case either that A circle has 200 degrees or that the water cycle excludes evaporation, condensation, precipitation, and runoff.",A circle has 200 degrees,"the water cycle excludes evaporation, condensation, precipitation, and runoff",0,0,0,2
173,It is the case either that Octopuses have one heart or that Pizza is a type of food that no one likes.,Octopuses have one heart,Pizza is a type of food that no one likes,0,0,0,2
174,It is the case either that Photosynthesis in plants consumes oxygen as a byproduct or that Echoes are sound waves reflecting off surfaces.,Photosynthesis in plants consumes oxygen as a byproduct,Echoes are sound waves reflecting off surfaces,0,1,1,2
175,It is the case either that the Sun is a planet or that Plants require excess oxygen to survive.,the Sun is a planet,Plants require excess oxygen to survive,0,0,0,2
176,It is the case either that Polar ice caps are primarily made of saltwater or that Venus is drastically different in size from Earth.,Polar ice caps are primarily made of saltwater,Venus is drastically different in size from Earth,0,0,0,2
177,It is the case either that the fastest mammal in the world is the turtle or that Humans have no basic senses.,the fastest mammal in the world is the turtle,Humans have no basic senses,0,0,0,2
178,It is the case either that the process by which cells divide to form two identical daughter cells is called mitosis or that the currency of Japan is the yen.,the process by which cells divide to form two identical daughter cells is called mitosis,the currency of Japan is the yen,1,1,1,2
179,"It is the case either that the fastest bird in the world is the penguin or that the study of the Earth's metaphysical structure, processes, and history is called meta-geology.",the fastest bird in the world is the penguin,"the study of the Earth's metaphysical structure, processes, and history is called meta-geology",0,0,0,2
180,It is the case either that the planet Jupiter is the largest planet in our solar system or that Humans do not use their brains.,the planet Jupiter is the largest planet in our solar system,Humans do not use their brains,1,0,1,2
181,It is the case either that Mercury is the largest planet or that Osmosis is the prevention of water movement across a selectively permeable membrane.,Mercury is the largest planet,Osmosis is the prevention of water movement across a selectively permeable membrane,0,0,0,2
182,It is the case either that the process of pollination is harmful for plant reproduction or that Ecosystems consist of living organisms and their physical environment.,the process of pollination is harmful for plant reproduction,Ecosystems consist of living organisms and their physical environment,0,1,1,2
183,It is the case either that Ecosystems exclude living organisms and their physical environment or that Neurons are generalized cells that block electrical and chemical signals in the nervous system.,Ecosystems exclude living organisms and their physical environment,Neurons are generalized cells that block electrical and chemical signals in the nervous system,0,0,0,2
184,It is the case either that the largest tree in the world is a cactus or that Apples grow on vines.,the largest tree in the world is a cactus,Apples grow on vines,0,0,0,2
185,It is the case either that Photosynthesis in plants produces oxygen as a byproduct or that Ice floats on water due to its lower density.,Photosynthesis in plants produces oxygen as a byproduct,Ice floats on water due to its lower density,1,1,1,2
186,It is the case either that the sun revolves around the Earth or that Light travels slower than sound.,the sun revolves around the Earth,Light travels slower than sound,0,0,0,2
187,It is the case either that the Great Wall of China was built in the 21st century or that the smallest ocean in the world is the Atlantic Ocean.,the Great Wall of China was built in the 21st century,the smallest ocean in the world is the Atlantic Ocean,0,0,0,2
188,It is the case either that Friction is the force that resists motion between two surfaces in contact or that Diamonds are made of silicon.,Friction is the force that resists motion between two surfaces in contact,Diamonds are made of silicon,1,0,1,2
189,"It is the case either that Mars has a thick atmosphere or that the pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",Mars has a thick atmosphere,"the pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral",0,1,1,2
190,It is the case either that the largest country in the world by land area is Russia or that the sky is often clear when it's going to rain.,the largest country in the world by land area is Russia,the sky is often clear when it's going to rain,1,0,1,2
191,It is the case either that the largest volcano in the world is located in Europe or that Atoms are the basic building blocks of matter.,the largest volcano in the world is located in Europe,Atoms are the basic building blocks of matter,0,1,1,2
192,It is the case either that Mount Everest is the highest mountain in the world or that Inertia is an object's encouragement to change in motion.,Mount Everest is the highest mountain in the world,Inertia is an object's encouragement to change in motion,1,0,1,2
193,"It is the case either that Jupiter has the Great Red Spot, a giant storm or that the fastest car in the world is made of cardboard.","Jupiter has the Great Red Spot, a giant storm",the fastest car in the world is made of cardboard,1,0,1,2
194,It is the case either that the Pacific Ocean is the smallest ocean in the world or that the Mona Lisa was painted by Michelangelo.,the Pacific Ocean is the smallest ocean in the world,the Mona Lisa was painted by Michelangelo,0,0,0,2
195,It is the case either that Earth is 71% land or that the human eye can see infrared light.,Earth is 71% land,the human eye can see infrared light,0,0,0,2
196,"It is the case either that the primary colors of darkness are red, green, and blue or that A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.","the primary colors of darkness are red, green, and blue","A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years",0,0,0,2
197,It is the case either that the largest reptile in the world is the crocodile or that the Earth is the only planet in the solar system.,the largest reptile in the world is the crocodile,the Earth is the only planet in the solar system,0,0,0,2
198,It is the case either that Cats can bark like dogs or that Neurons are specialized cells that transmit electrical and chemical signals in the nervous system.,Cats can bark like dogs,Neurons are specialized cells that transmit electrical and chemical signals in the nervous system,0,1,1,2
199,It is the case either that Cars need water to run or that the Earth is flat.,Cars need water to run,the Earth is flat,0,0,0,2
200,"It is the case either that Sharks are mammals, not fish or that Fossils destroy evidence of past life on Earth.","Sharks are mammals, not fish",Fossils destroy evidence of past life on Earth,0,0,0,2
201,It is the case either that the largest continent in the world is Asia or that Earth has multiple moons.,the largest continent in the world is Asia,Earth has multiple moons,1,0,1,2
202,It is the case either that Volcanic eruptions can create new land or that the Sun is a star.,Volcanic eruptions can create new land,the Sun is a star,1,1,1,2
203,It is the case either that the study of antimatter and its interactions with dark energy is called anti-physics or that the moon is made of cheese.,the study of antimatter and its interactions with dark energy is called anti-physics,the moon is made of cheese,0,0,0,2
204,It is the case either that Cells are the complex units of life or that Volcanoes form far from areas where Earth's tectonic plates interact.,Cells are the complex units of life,Volcanoes form far from areas where Earth's tectonic plates interact,0,0,0,2
205,"It is the case either that Inertia is an object's resistance to change in motion or that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",Inertia is an object's resistance to change in motion,"the three main types of neurons are muscle neurons, sensory neurons, and extraneurons",1,0,1,2
206,It is the case either that Ecosystems exclude living organisms and their physical environment or that the process of pollination is crucial for plant reproduction.,Ecosystems exclude living organisms and their physical environment,the process of pollination is crucial for plant reproduction,0,1,1,2
207,It is the case either that Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures or that the largest bird in the world is the sparrow.,Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures,the largest bird in the world is the sparrow,0,0,0,2
208,"It is the case either that the highest mountain in the world is Mount Fuji or that the three states of matter are solid, liquid, and gas.",the highest mountain in the world is Mount Fuji,"the three states of matter are solid, liquid, and gas",0,1,1,2
209,"It is the case either that the Earth is flat, not round or that the Mona Lisa was painted by Michelangelo.","the Earth is flat, not round",the Mona Lisa was painted by Michelangelo,0,0,0,2
210,It is the case either that Sound travels through the air as light or that the largest body of water in the world is the Mediterranean Sea.,Sound travels through the air as light,the largest body of water in the world is the Mediterranean Sea,0,0,0,2
211,It is the case either that Fermentation is a process by which microorganisms create complex organic compounds or that the Pacific Ocean is the smallest ocean in the world.,Fermentation is a process by which microorganisms create complex organic compounds,the Pacific Ocean is the smallest ocean in the world,0,0,0,2
212,It is the case either that the Eiffel Tower is located in London or that Plants require excess oxygen to survive.,the Eiffel Tower is located in London,Plants require excess oxygen to survive,0,0,0,2
213,It is the case either that the most abundant element in the Earth's atmosphere is gold or that the largest tree in the world is a cactus.,the most abundant element in the Earth's atmosphere is gold,the largest tree in the world is a cactus,0,0,0,2
214,"It is the case either that Sharks are mammals, not fish or that the human eye can see infrared light.","Sharks are mammals, not fish",the human eye can see infrared light,0,0,0,2
215,It is the case either that the largest canyon in the world is located in Europe or that Neptune has the calmest winds in the solar system.,the largest canyon in the world is located in Europe,Neptune has the calmest winds in the solar system,0,0,0,2
216,"It is the case either that the largest unit of life is the cell or that the pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral.",the largest unit of life is the cell,"the pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral",0,0,0,2
217,It is the case either that Light can exhibit neither wave-like nor particle-like properties or that the coldest place on Earth is the equator.,Light can exhibit neither wave-like nor particle-like properties,the coldest place on Earth is the equator,0,0,0,2
218,"It is the case either that the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection or that the ozone layer exposes Earth to harmful ultraviolet radiation.","the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection",the ozone layer exposes Earth to harmful ultraviolet radiation,0,0,0,2
219,It is the case either that the shortest distance between two points is a zigzag or that Pizza is a type of food that no one likes.,the shortest distance between two points is a zigzag,Pizza is a type of food that no one likes,0,0,0,2
220,It is the case either that Migration allows animals to find better resources or that the human body has 12 pairs of legs.,Migration allows animals to find better resources,the human body has 12 pairs of legs,1,0,1,2
221,It is the case either that the sun rises in the east and sets in the west or that there are 50 hours in a day.,the sun rises in the east and sets in the west,there are 50 hours in a day,1,0,1,2
222,It is the case either that the tallest tree in the world is a redwood tree named Hyperion or that the sun rises in the west.,the tallest tree in the world is a redwood tree named Hyperion,the sun rises in the west,1,0,1,2
223,It is the case either that the largest mammal in the world is the mosquito or that All birds can fly backwards.,the largest mammal in the world is the mosquito,All birds can fly backwards,0,0,0,2
224,It is the case either that Humans do not use their brains or that Apples are a type of fruit.,Humans do not use their brains,Apples are a type of fruit,0,1,1,2
225,"It is the case either that Oxygen is harmful to human breathing or that Jupiter has the Great Red Spot, a giant storm.",Oxygen is harmful to human breathing,"Jupiter has the Great Red Spot, a giant storm",0,1,1,2
226,It is the case either that Volcanic eruptions destroy existing land or that the smallest tree in the world is the redwood.,Volcanic eruptions destroy existing land,the smallest tree in the world is the redwood,0,0,0,2
227,"It is the case either that the largest bird in the world is the sparrow or that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",the largest bird in the world is the sparrow,"the three main types of neurons are muscle neurons, sensory neurons, and extraneurons",0,0,0,2
228,It is the case either that Cows are carnivores and only eat meat or that the smallest planet in our solar system is Saturn.,Cows are carnivores and only eat meat,the smallest planet in our solar system is Saturn,0,0,0,2
229,It is the case either that Mount Everest is the highest mountain in the world or that Seasons are caused by Earth's constant alignment.,Mount Everest is the highest mountain in the world,Seasons are caused by Earth's constant alignment,1,0,1,2
230,It is the case either that Hibernation wastes energy during warm periods or that Symbiosis is a distant relationship between two species.,Hibernation wastes energy during warm periods,Symbiosis is a distant relationship between two species,0,0,0,2
231,It is the case either that the study of spontaneity and the variation of non-inherited characteristics is called anti-genetics or that the Sahara is the largest hot desert.,the study of spontaneity and the variation of non-inherited characteristics is called anti-genetics,the Sahara is the largest hot desert,0,1,1,2
232,It is the case either that Mars has a thin atmosphere or that the moon is made of cheese.,Mars has a thin atmosphere,the moon is made of cheese,1,0,1,2
233,It is the case either that the speed of light is the slowest known speed in the universe or that the shortest river in the world is the Amazon River.,the speed of light is the slowest known speed in the universe,the shortest river in the world is the Amazon River,0,0,0,2
234,It is the case either that Trees absorb carbon dioxide and release oxygen or that Volcanoes form far from areas where Earth's tectonic plates interact.,Trees absorb carbon dioxide and release oxygen,Volcanoes form far from areas where Earth's tectonic plates interact,1,0,1,2
235,It is the case either that there are no stars in the night sky or that the human body is composed of about 60% water.,there are no stars in the night sky,the human body is composed of about 60% water,0,1,1,2
236,It is the case either that the Nile River is located in South America or that the study of matter and its interactions with energy is called physics.,the Nile River is located in South America,the study of matter and its interactions with energy is called physics,0,1,1,2
237,It is the case either that the largest planet in our solar system is Mercury or that Sunflowers follow the movement of the moon across the sky.,the largest planet in our solar system is Mercury,Sunflowers follow the movement of the moon across the sky,0,0,0,2
238,"It is the case either that the carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere or that Atoms are the basic building blocks of matter.","the carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere",Atoms are the basic building blocks of matter,1,1,1,2
239,"It is the case either that the theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection or that Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.","the theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection",Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle,1,1,1,2
240,It is the case either that A substance that can be broken down into simpler substances by chemical means is called a compound or that the longest mountain range in the world is located in Australia.,A substance that can be broken down into simpler substances by chemical means is called a compound,the longest mountain range in the world is located in Australia,0,0,0,2
241,It is the case either that the human muscular system allows us to move and lift things or that Antibiotics are used to cause bacterial infections.,the human muscular system allows us to move and lift things,Antibiotics are used to cause bacterial infections,1,0,1,2
242,It is the case either that the human body does not need water to survive or that the Statue of Liberty is located in Tokyo.,the human body does not need water to survive,the Statue of Liberty is located in Tokyo,0,0,0,2
243,It is the case either that Stars appear steady due to Earth's atmosphere or that Earth is 71% land.,Stars appear steady due to Earth's atmosphere,Earth is 71% land,0,0,0,2
244,It is the case either that the sun revolves around the moon or that A tomato is a type of fruit.,the sun revolves around the moon,A tomato is a type of fruit,0,0,0,2
245,It is the case either that Jupiter is mostly made of iron and oxygen or that Light travels slower than sound.,Jupiter is mostly made of iron and oxygen,Light travels slower than sound,0,0,0,2
246,It is the case either that Ice sinks in water due to its higher density or that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,Ice sinks in water due to its higher density,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle,0,0,0,2
247,It is the case either that Light can exhibit both wave-like and particle-like properties or that the smallest country in the world is Russia.,Light can exhibit both wave-like and particle-like properties,the smallest country in the world is Russia,1,0,1,2
248,It is the case either that the smallest planet in our solar system is Jupiter or that the smallest planet in our solar system is Saturn.,the smallest planet in our solar system is Jupiter,the smallest planet in our solar system is Saturn,0,0,0,2
249,It is the case either that the only continent without any mountains is Asia or that Light travels slower than sound.,the only continent without any mountains is Asia,Light travels slower than sound,0,0,0,2
250,It is the case either that the Sahara is the smallest hot desert or that the largest ocean in the world is the Indian Ocean.,the Sahara is the smallest hot desert,the largest ocean in the world is the Indian Ocean,0,0,0,2
251,It is the case either that Atoms are the basic building blocks of matter or that the largest ocean in the world is the Pacific Ocean.,Atoms are the basic building blocks of matter,the largest ocean in the world is the Pacific Ocean,1,1,1,2
252,It is the case either that Volcanoes form far from areas where Earth's tectonic plates interact or that Gravity makes things fall down.,Volcanoes form far from areas where Earth's tectonic plates interact,Gravity makes things fall down,0,1,1,2
253,It is the case either that Venus has a thin atmosphere or that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,Venus has a thin atmosphere,Electromagnetic induction is the process by which a constant magnetic field dampens an electric current,0,0,0,2
254,It is the case either that Superconductors are materials that have no electrical resistance when cooled to certain temperatures or that the process of pollination is harmful for plant reproduction.,Superconductors are materials that have no electrical resistance when cooled to certain temperatures,the process of pollination is harmful for plant reproduction,1,0,1,2
255,It is the case either that the sun revolves around the moon or that the sun sets in the east.,the sun revolves around the moon,the sun sets in the east,0,0,0,2
256,It is the case either that Neptune has the strongest winds in the solar system or that the human brain is the control center for the body's functions and emotions.,Neptune has the strongest winds in the solar system,the human brain is the control center for the body's functions and emotions,1,1,1,2
257,It is the case either that the Titanic was a famous ship that sank in 1912 or that the largest animal in the world is the rhinoceros.,the Titanic was a famous ship that sank in 1912,the largest animal in the world is the rhinoceros,1,0,1,2
258,It is the case either that the only continent without any mountains is Asia or that Comets are icy celestial objects that orbit the Sun.,the only continent without any mountains is Asia,Comets are icy celestial objects that orbit the Sun,0,1,1,2
259,It is the case either that the planet Earth is the only planet known to support life or that Human digestion begins in the hand and ends in the large intestine.,the planet Earth is the only planet known to support life,Human digestion begins in the hand and ends in the large intestine,1,0,1,2
260,It is the case either that Sound travels through the air as waves or that Venus has a thin atmosphere.,Sound travels through the air as waves,Venus has a thin atmosphere,1,0,1,2
261,It is the case either that Erosion is the gradual wearing away of Earth's surface by natural processes or that the human body has 12 pairs of ribs.,Erosion is the gradual wearing away of Earth's surface by natural processes,the human body has 12 pairs of ribs,1,1,1,2
262,It is the case either that Earth has no magnetic field or that the Pacific Ocean is the smallest ocean in the world.,Earth has no magnetic field,the Pacific Ocean is the smallest ocean in the world,0,0,0,2
263,It is the case either that the largest canyon in the world is located in Europe or that the Sahara Desert is covered in snow and ice.,the largest canyon in the world is located in Europe,the Sahara Desert is covered in snow and ice,0,0,0,2
264,It is the case either that Friction is the force that resists motion between two surfaces in contact or that the Statue of Liberty is located in Tokyo.,Friction is the force that resists motion between two surfaces in contact,the Statue of Liberty is located in Tokyo,1,0,1,2
265,It is the case either that Mercury is the largest planet or that the largest volcano in the world is located in Hawaii.,Mercury is the largest planet,the largest volcano in the world is located in Hawaii,0,0,0,2
266,"It is the case either that Hybrids are the offspring of identical plants or animals from the same species or varieties or that the process by which a gas turns directly into a solid, without becoming a liquid, is called deposition.",Hybrids are the offspring of identical plants or animals from the same species or varieties,"the process by which a gas turns directly into a solid, without becoming a liquid, is called deposition",0,0,0,2
267,"It is the case either that Butterflies are not insects, they are birds or that there are no plants in the desert.","Butterflies are not insects, they are birds",there are no plants in the desert,0,0,0,2
268,"It is the case either that Sharks are mammals, not fish or that the human body has four types of water groups: A, B, AB, and O.","Sharks are mammals, not fish","the human body has four types of water groups: A, B, AB, and O",0,0,0,2
269,It is the case either that the largest animal in the world is the rhinoceros or that the only continent without any deserts is Antarctica.,the largest animal in the world is the rhinoceros,the only continent without any deserts is Antarctica,0,0,0,2
270,It is the case either that the study of non-substances and their non-interactions is called anti-chemistry or that the first man-made satellite was launched by North Korea.,the study of non-substances and their non-interactions is called anti-chemistry,the first man-made satellite was launched by North Korea,0,0,0,2
271,It is the case either that Humans do not use their brains or that Fish can live on land.,Humans do not use their brains,Fish can live on land,0,0,0,2
272,It is the case either that Auroras occur at Earth's equator or that the human body has 12 pairs of legs.,Auroras occur at Earth's equator,the human body has 12 pairs of legs,0,0,0,2
273,"It is the case either that the Earth has four seasons: spring, summer, fall, and winter or that the sky is blue.","the Earth has four seasons: spring, summer, fall, and winter",the sky is blue,1,1,1,2
274,It is the case either that the Earth's atmosphere is composed mostly of helium and carbon dioxide or that the Milky Way is a linear galaxy.,the Earth's atmosphere is composed mostly of helium and carbon dioxide,the Milky Way is a linear galaxy,0,0,0,2
275,It is the case either that Migration prevents animals from finding better resources or that Fermentation is a process by which microorganisms create complex organic compounds.,Migration prevents animals from finding better resources,Fermentation is a process by which microorganisms create complex organic compounds,0,0,0,2
276,It is the case either that Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures or that Neptune has the calmest winds in the solar system.,Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures,Neptune has the calmest winds in the solar system,0,0,0,2
277,"It is the case either that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons or that Antibiotics are used to treat bacterial infections.","the three main types of neurons are muscle neurons, sensory neurons, and extraneurons",Antibiotics are used to treat bacterial infections,0,1,1,2
278,It is the case either that Cars can travel faster than the speed of light or that the human eye can detect only one color.,Cars can travel faster than the speed of light,the human eye can detect only one color,0,0,0,2
279,It is the case either that Cacti store water in their ears or that the human endocrine system produces hormones that regulate various bodily functions.,Cacti store water in their ears,the human endocrine system produces hormones that regulate various bodily functions,0,1,1,2
280,It is the case either that the sky is often clear when it's going to rain or that the planet Mercury is the closest planet to the sun in our solar system.,the sky is often clear when it's going to rain,the planet Mercury is the closest planet to the sun in our solar system,0,1,1,2
281,It is the case either that Humans do not use their brains or that Sharks are sea creatures that have a reputation for being dangerous.,Humans do not use their brains,Sharks are sea creatures that have a reputation for being dangerous,0,1,1,2
282,It is the case either that the largest glacier in the world is located in Africa or that the only continent without any deserts is Antarctica.,the largest glacier in the world is located in Africa,the only continent without any deserts is Antarctica,0,0,0,2
283,It is the case either that A group of lions is called a pride or that the fastest fish in the world is the goldfish.,A group of lions is called a pride,the fastest fish in the world is the goldfish,1,0,1,2
284,It is the case either that the Earth is flat or that Tornadoes are rapidly rotating columns of air.,the Earth is flat,Tornadoes are rapidly rotating columns of air,0,1,1,2
285,It is the case either that Sunflowers follow the movement of the moon across the sky or that A circle has 200 degrees.,Sunflowers follow the movement of the moon across the sky,A circle has 200 degrees,0,0,0,2
286,It is the case either that the coldest place on Earth is the equator or that the largest ocean in the world is the Indian Ocean.,the coldest place on Earth is the equator,the largest ocean in the world is the Indian Ocean,0,0,0,2
287,It is the case either that the respiratory system prevents the exchange of gases between the body and the environment or that Tornadoes are slowly rotating columns of water that can cause minimal damage.,the respiratory system prevents the exchange of gases between the body and the environment,Tornadoes are slowly rotating columns of water that can cause minimal damage,0,0,0,2
288,"It is the case either that A group of lions is called a pride or that the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",A group of lions is called a pride,"the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field",1,1,1,2
289,It is the case either that the Earth's largest ocean is the Pacific Ocean or that Diamonds are made of silicon.,the Earth's largest ocean is the Pacific Ocean,Diamonds are made of silicon,1,0,1,2
290,It is the case either that Volcanic eruptions can create new land or that the smallest animal in the world is the elephant.,Volcanic eruptions can create new land,the smallest animal in the world is the elephant,1,0,1,2
291,It is the case either that the Earth is located in the Milky Way galaxy or that the sun sets in the east.,the Earth is located in the Milky Way galaxy,the sun sets in the east,1,0,1,2
292,"It is the case either that the carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere or that Atoms are the basic breaking points of matter.","the carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere",Atoms are the basic breaking points of matter,0,0,0,2
293,"It is the case either that the moon is a star, not a satellite or that the two main types of microscopes are light microscopes and electron microscopes.","the moon is a star, not a satellite",the two main types of microscopes are light microscopes and electron microscopes,0,1,1,2
294,"It is the case either that the primary colors of darkness are red, green, and blue or that the Milky Way is a linear galaxy.","the primary colors of darkness are red, green, and blue",the Milky Way is a linear galaxy,0,0,0,2
295,"It is the case either that the scientific method is a systematic process for investigating phenomena and acquiring new knowledge or that the human circulatory system is an open system consisting of the heart, air vessels, and air.",the scientific method is a systematic process for investigating phenomena and acquiring new knowledge,"the human circulatory system is an open system consisting of the heart, air vessels, and air",1,0,1,2
296,It is the case either that Fish can live on land or that the fastest fish in the world is the goldfish.,Fish can live on land,the fastest fish in the world is the goldfish,0,0,0,2
297,It is the case either that Rainbows are formed when light is reflected off of dirt particles in the air or that Earth has a magnetic field.,Rainbows are formed when light is reflected off of dirt particles in the air,Earth has a magnetic field,0,1,1,2
298,It is the case either that the largest bird in the world is the sparrow or that the smallest unit of life is the cell.,the largest bird in the world is the sparrow,the smallest unit of life is the cell,0,1,1,2
299,It is the case either that Elephants are the largest land animals on Earth or that the smallest animal in the world is the elephant.,Elephants are the largest land animals on Earth,the smallest animal in the world is the elephant,1,0,1,2
300,It is the case either that Iron remains unaffected in the presence of oxygen and water or that the process of pollination is harmful for plant reproduction.,Iron remains unaffected in the presence of oxygen and water,the process of pollination is harmful for plant reproduction,0,0,0,2
301,It is the case either that the ozone layer exposes Earth to harmful ultraviolet radiation or that the ozone layer exposes Earth to harmful ultraviolet radiation.,the ozone layer exposes Earth to harmful ultraviolet radiation,the ozone layer exposes Earth to harmful ultraviolet radiation,0,0,0,2
302,It is the case either that the first man-made satellite was launched by North Korea or that Cats are known for being disobedient pets.,the first man-made satellite was launched by North Korea,Cats are known for being disobedient pets,0,0,0,2
303,It is the case either that the smallest planet in our solar system is Jupiter or that the Grand Canyon is located in Europe.,the smallest planet in our solar system is Jupiter,the Grand Canyon is located in Europe,0,0,0,2
304,It is the case either that the shortest distance between two points is a zigzag or that Penguins are warm-blooded and can survive in hot climates.,the shortest distance between two points is a zigzag,Penguins are warm-blooded and can survive in hot climates,0,0,0,2
