r1_row_index,topic,entity_pair_id,statement,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering,global_truth,frozen_atomic_score,compound_trained_score
1629,cities,"cities::[""Hebi"",""Tomsk""]",The city of Tomsk is in Argentina and the city of Hebi is in Sweden.,The city of Tomsk is in Argentina.,The city of Hebi is in Sweden.,0,0,FF,AND,AB,0,-3.2506620716947503,-26.324351987897938
1638,animal_class,"animal_class::[""parrot"",""tiger""]",The parrot is a arachnid or the tiger is a amphibian.,The tiger is a amphibian.,The parrot is a arachnid.,0,0,FF,OR,BA,0,1.4500034945478328,-4.747590277693378
1640,inventors,"inventors::[""Jacob Perkins"",""John Boyd Dunlop""]",John Boyd Dunlop lived in Scotland or Jacob Perkins lived in the U.S.,John Boyd Dunlop lived in Scotland.,Jacob Perkins lived in the U.S.,1,1,TT,OR,AB,1,3.7204507136511924,12.872647853544057
1649,sp_en_trans,"sp_en_trans::[""oferta"",""siete""]",The Spanish word 'oferta' means 'offer' or the Spanish word 'siete' means 'seven'.,The Spanish word 'siete' means 'seven'.,The Spanish word 'oferta' means 'offer'.,1,1,TT,OR,BA,1,-0.3729401557949937,20.14091215998977
1651,cities,"cities::[""Hebi"",""Tomsk""]",The city of Hebi is in China and the city of Tomsk is in Russia.,The city of Tomsk is in Russia.,The city of Hebi is in China.,1,1,TT,AND,BA,1,10.36608258599726,7.7947391982426835
1654,cities,"cities::[""Mianzhu, Deyang, Sichuan"",""Zibo""]","The city of Mianzhu, Deyang, Sichuan is in China or the city of Zibo is in China.","The city of Mianzhu, Deyang, Sichuan is in China.",The city of Zibo is in China.,1,1,TT,OR,AB,1,7.00650712369301,20.182527930858914
1660,inventors,"inventors::[""Hans Geiger"",""James Starley""]",Hans Geiger lived in Germany and James Starley lived in the U.K.,James Starley lived in the U.K.,Hans Geiger lived in Germany.,1,1,TT,AND,BA,1,9.641550748890575,0.11720550500370598
1661,animal_class,"animal_class::[""llama"",""otter""]",The otter is a arachnid or the llama is a mammal.,The llama is a mammal.,The otter is a arachnid.,1,0,TF,OR,BA,1,1.8716604629743256,4.9529010375082905
1668,animal_class,"animal_class::[""gorilla"",""hamster""]",The gorilla is a reptile and the hamster is a bird.,The gorilla is a reptile.,The hamster is a bird.,0,0,FF,AND,AB,0,-4.915073083028279,-27.419683354258222
1672,inventors,"inventors::[""Hans Goldschmidt"",""John Ambrose Fleming""]",John Ambrose Fleming lived in Finland or Hans Goldschmidt lived in Russia.,Hans Goldschmidt lived in Russia.,John Ambrose Fleming lived in Finland.,0,0,FF,OR,BA,0,2.2275903440746982,-0.579025652481264
1705,inventors,"inventors::[""Emile Berliner"",""Thomas Tompion""]",Thomas Tompion lived in Russia or Emile Berliner lived in Japan.,Emile Berliner lived in Japan.,Thomas Tompion lived in Russia.,0,0,FF,OR,BA,0,2.6349483082884646,-6.147857620451774
1706,inventors,"inventors::[""Hans Goldschmidt"",""John Ambrose Fleming""]",Hans Goldschmidt lived in Russia and John Ambrose Fleming lived in the U.K.,Hans Goldschmidt lived in Russia.,John Ambrose Fleming lived in the U.K.,0,1,FT,AND,AB,0,6.773898748117223,-7.562411864265936
1707,animal_class,"animal_class::[""llama"",""mongoose""]",The mongoose is a reptile or the llama is a mammal.,The mongoose is a reptile.,The llama is a mammal.,0,1,FT,OR,AB,1,1.816331282197643,8.635325474691228
1710,animal_class,"animal_class::[""gorilla"",""hamster""]",The gorilla is a reptile or the hamster is a mammal.,The gorilla is a reptile.,The hamster is a mammal.,0,1,FT,OR,AB,1,1.7968131275192676,5.7393297544787965
1715,element_symb,"element_symb::[""Boron"",""Selenium""]",Boron has the symbol B or Selenium has the symbol Se.,Selenium has the symbol Se.,Boron has the symbol B.,1,1,TT,OR,BA,1,2.513492309960603,20.407753666252795
1720,animal_class,"animal_class::[""parrot"",""tiger""]",The parrot is a bird or the tiger is a mammal.,The tiger is a mammal.,The parrot is a bird.,1,1,TT,OR,BA,1,4.657890526094141,14.875643169304423
1739,sp_en_trans,"sp_en_trans::[""caliente"",""vecino""]",The Spanish word 'caliente' means 'corner' or the Spanish word 'vecino' means 'wind'.,The Spanish word 'vecino' means 'wind'.,The Spanish word 'caliente' means 'corner'.,0,0,FF,OR,BA,0,-14.502379516258001,-10.111088110268998
1745,animal_class,"animal_class::[""bison"",""camel""]",The camel is a crustacean or the bison is a mammal.,The bison is a mammal.,The camel is a crustacean.,1,0,TF,OR,BA,1,1.866907476611997,7.283141890098751
1752,cities,"cities::[""Maceio"",""Yerevan""]",The city of Maceio is in Brazil or the city of Yerevan is in Uganda.,The city of Yerevan is in Uganda.,The city of Maceio is in Brazil.,0,1,FT,OR,BA,1,1.6188162365724716,4.690263641387311
1753,element_symb,"element_symb::[""Astatine"",""Palladium""]",Palladium has the symbol Ir or Astatine has the symbol Ca.,Astatine has the symbol Ca.,Palladium has the symbol Ir.,0,0,FF,OR,BA,0,-8.816641328508938,-11.171251496854994
1764,element_symb,"element_symb::[""Actinium"",""Platinum""]",Actinium has the symbol Ac and Platinum has the symbol S.,Platinum has the symbol S.,Actinium has the symbol Ac.,0,1,FT,AND,BA,0,-10.018122997441981,-13.433317316936325
1772,element_symb,"element_symb::[""Cesium"",""Thulium""]",Cesium has the symbol Cs or Thulium has the symbol Tm.,Thulium has the symbol Tm.,Cesium has the symbol Cs.,1,1,TT,OR,BA,1,0.9505048227593079,13.957969205101659
1776,sp_en_trans,"sp_en_trans::[""abrigo"",""pagar""]",The Spanish word 'pagar' means 'to pay' or the Spanish word 'abrigo' means 'coat'.,The Spanish word 'abrigo' means 'coat'.,The Spanish word 'pagar' means 'to pay'.,1,1,TT,OR,BA,1,4.9979115676258985,25.095652917979397
1778,animal_class,"animal_class::[""raccoon"",""seagull""]",The raccoon is a bird and the seagull is a bird.,The raccoon is a bird.,The seagull is a bird.,0,1,FT,AND,AB,0,2.3297913214082935,-9.489797995781233
1779,cities,"cities::[""Maceio"",""Yerevan""]",The city of Maceio is in Senegal or the city of Yerevan is in Uganda.,The city of Yerevan is in Uganda.,The city of Maceio is in Senegal.,0,0,FF,OR,BA,0,1.7671493480167104,-6.380242576862724
1780,sp_en_trans,"sp_en_trans::[""ejemplo"",""gato""]",The Spanish word 'gato' means 'cat' and the Spanish word 'ejemplo' means 'example'.,The Spanish word 'gato' means 'cat'.,The Spanish word 'ejemplo' means 'example'.,1,1,TT,AND,AB,1,6.675428553922642,7.66458052647133
1781,element_symb,"element_symb::[""Molybdenum"",""Radon""]",Molybdenum has the symbol Mo or Radon has the symbol Rn.,Radon has the symbol Rn.,Molybdenum has the symbol Mo.,1,1,TT,OR,BA,1,2.960518245123622,19.172075397268138
1788,cities,"cities::[""Kampala"",""Wenzhou""]",The city of Wenzhou is in Cambodia and the city of Kampala is in Uganda.,The city of Kampala is in Uganda.,The city of Wenzhou is in Cambodia.,1,0,TF,AND,BA,0,-0.42141839539557996,-9.732373296273225
1790,inventors,"inventors::[""Jacob Perkins"",""John Boyd Dunlop""]",John Boyd Dunlop lived in Scotland and Jacob Perkins lived in Turkey/the U.S.,John Boyd Dunlop lived in Scotland.,Jacob Perkins lived in Turkey/the U.S.,1,0,TF,AND,AB,0,2.387850651414187,-10.33420703981276
1816,cities,"cities::[""Tlaquepaque"",""Vladivostok""]",The city of Tlaquepaque is in Mexico or the city of Vladivostok is in Ghana.,The city of Vladivostok is in Ghana.,The city of Tlaquepaque is in Mexico.,0,1,FT,OR,BA,1,2.2435595743051895,5.9432172153812655
1819,cities,"cities::[""Bhopal"",""Kisangani""]",The city of Bhopal is in India and the city of Kisangani is in Senegal.,The city of Bhopal is in India.,The city of Kisangani is in Senegal.,1,0,TF,AND,AB,0,3.1510454090951496,-5.272622456160835
1833,cities,"cities::[""Algiers"",""Cochin""]",The city of Algiers is in Algeria and the city of Cochin is in Japan.,The city of Cochin is in Japan.,The city of Algiers is in Algeria.,0,1,FT,AND,BA,0,-2.987796186308794,-16.102485201018116
1834,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Antimony has the symbol Sb or Praseodymium has the symbol I.,Antimony has the symbol Sb.,Praseodymium has the symbol I.,1,0,TF,OR,AB,1,-6.882918282326034,6.98199322586755
1840,cities,"cities::[""Kunming"",""N'Djamena""]",The city of Kunming is in Italy and the city of N'Djamena is in Chad.,The city of N'Djamena is in Chad.,The city of Kunming is in Italy.,1,0,TF,AND,BA,0,1.9453859505617666,-12.145280906259183
1844,element_symb,"element_symb::[""Boron"",""Osmium""]",Osmium has the symbol P or Boron has the symbol B.,Osmium has the symbol P.,Boron has the symbol B.,0,1,FT,OR,AB,1,-1.2195410485970832,15.688670720215574
1848,element_symb,"element_symb::[""Gold"",""Ruthenium""]",Gold has the symbol Sm and Ruthenium has the symbol Ru.,Ruthenium has the symbol Ru.,Gold has the symbol Sm.,1,0,TF,AND,BA,0,-6.318223613505992,-12.244715837421575
1849,animal_class,"animal_class::[""lobster"",""shark""]",The lobster is a arachnid and the shark is a fish.,The shark is a fish.,The lobster is a arachnid.,1,0,TF,AND,BA,0,7.855265246978979,-9.202075708345637
1852,element_symb,"element_symb::[""Phosphorus"",""Praseodymium""]",Phosphorus has the symbol P and Praseodymium has the symbol I.,Phosphorus has the symbol P.,Praseodymium has the symbol I.,1,0,TF,AND,AB,0,-6.48051201417489,-15.589725475964888
1862,animal_class,"animal_class::[""bee"",""frog""]",The frog is a amphibian or the bee is a mollusk.,The bee is a mollusk.,The frog is a amphibian.,0,1,FT,OR,BA,1,4.348468396430981,4.983767628995048
1863,animal_class,"animal_class::[""bison"",""camel""]",The camel is a crustacean and the bison is a cnidarian.,The bison is a cnidarian.,The camel is a crustacean.,0,0,FF,AND,BA,0,-4.91386708602764,-26.502746374282136
1864,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Praseodymium has the symbol Pr and Antimony has the symbol Sb.,Antimony has the symbol Sb.,Praseodymium has the symbol Pr.,1,1,TT,AND,BA,1,10.269649222773248,8.380763307873782
1865,sp_en_trans,"sp_en_trans::[""oscuro"",""primero""]",The Spanish word 'oscuro' means 'to see' and the Spanish word 'primero' means 'first'.,The Spanish word 'oscuro' means 'to see'.,The Spanish word 'primero' means 'first'.,0,1,FT,AND,AB,0,3.3211468963630195,-8.048306749615818
1867,animal_class,"animal_class::[""hedgehog"",""mongoose""]",The hedgehog is a fish and the mongoose is a mammal.,The mongoose is a mammal.,The hedgehog is a fish.,1,0,TF,AND,BA,0,4.658800420880091,-4.477507735624778
1871,cities,"cities::[""Hebi"",""Tomsk""]",The city of Hebi is in Sweden and the city of Tomsk is in Russia.,The city of Tomsk is in Russia.,The city of Hebi is in Sweden.,1,0,TF,AND,BA,0,4.1175008344013,-6.463728228401837
1872,inventors,"inventors::[""John Callcott Horsley"",""William Kelly""]",John Callcott Horsley lived in the U.K and William Kelly lived in the Soviet Union.,William Kelly lived in the Soviet Union.,John Callcott Horsley lived in the U.K.,0,1,FT,AND,BA,0,3.2685278844210113,-4.388960812325825
1873,element_symb,"element_symb::[""Gallium"",""Molybdenum""]",Molybdenum has the symbol V and Gallium has the symbol Ga.,Gallium has the symbol Ga.,Molybdenum has the symbol V.,1,0,TF,AND,BA,0,-3.1898050977501913,-13.804107274692615
1884,inventors,"inventors::[""John Callcott Horsley"",""William Kelly""]",William Kelly lived in the U.S and John Callcott Horsley lived in the U.K.,William Kelly lived in the U.S.,John Callcott Horsley lived in the U.K.,1,1,TT,AND,AB,1,9.420042119739168,4.795593186475404
1904,cities,"cities::[""Maceio"",""Yerevan""]",The city of Yerevan is in Armenia and the city of Maceio is in Brazil.,The city of Yerevan is in Armenia.,The city of Maceio is in Brazil.,1,1,TT,AND,AB,1,10.089259245873377,0.2050182256240959
1909,animal_class,"animal_class::[""gazelle"",""sparrow""]",The gazelle is a reptile and the sparrow is a crustacean.,The sparrow is a crustacean.,The gazelle is a reptile.,0,0,FF,AND,BA,0,-5.411660485906384,-23.77700055236087
1915,sp_en_trans,"sp_en_trans::[""pagar"",""persona""]",The Spanish word 'persona' means 'now' and the Spanish word 'pagar' means 'to pay'.,The Spanish word 'persona' means 'now'.,The Spanish word 'pagar' means 'to pay'.,0,1,FT,AND,AB,0,-0.44580347465333486,-9.739604622450477
1919,inventors,"inventors::[""Christian Huygens"",""Hippolyte Mège-Mouriès""]",Hippolyte Mège-Mouriès lived in France and Christian Huygens lived in Poland/Germany.,Hippolyte Mège-Mouriès lived in France.,Christian Huygens lived in Poland/Germany.,1,0,TF,AND,AB,0,8.791368875651484,-2.331178372827006
1922,inventors,"inventors::[""Christian Huygens"",""Hippolyte Mège-Mouriès""]",Hippolyte Mège-Mouriès lived in Germany or Christian Huygens lived in the Netherlands.,Hippolyte Mège-Mouriès lived in Germany.,Christian Huygens lived in the Netherlands.,0,1,FT,OR,AB,1,3.548732058693885,4.100532421586739
1926,inventors,"inventors::[""Hans Goldschmidt"",""John Ambrose Fleming""]",John Ambrose Fleming lived in the U.K or Hans Goldschmidt lived in Germany.,Hans Goldschmidt lived in Germany.,John Ambrose Fleming lived in the U.K.,1,1,TT,OR,BA,1,1.2708651892711693,13.216571222958926
1941,element_symb,"element_symb::[""Copper"",""Nitrogen""]",Copper has the symbol Cu and Nitrogen has the symbol Np.,Nitrogen has the symbol Np.,Copper has the symbol Cu.,0,1,FT,AND,BA,0,-6.220430059297615,-11.61711069766668
1945,inventors,"inventors::[""Daisuke Inoue"",""Hans von Ohain""]",Hans von Ohain lived in England or Daisuke Inoue lived in Japan.,Daisuke Inoue lived in Japan.,Hans von Ohain lived in England.,1,0,TF,OR,BA,1,4.492784486941996,9.79758798403444
1958,sp_en_trans,"sp_en_trans::[""abrigo"",""pagar""]",The Spanish word 'abrigo' means 'coat' and the Spanish word 'pagar' means 'to pay'.,The Spanish word 'abrigo' means 'coat'.,The Spanish word 'pagar' means 'to pay'.,1,1,TT,AND,AB,1,7.577952641040381,9.608956671015111
1964,inventors,"inventors::[""Hans Geiger"",""James Starley""]",James Starley lived in the U.K and Hans Geiger lived in Germany.,James Starley lived in the U.K.,Hans Geiger lived in Germany.,1,1,TT,AND,AB,1,4.473194338494816,6.489716162712959
1982,cities,"cities::[""Changshu"",""Nagoya""]",The city of Changshu is in China and the city of Nagoya is in the Dominican Republic.,The city of Changshu is in China.,The city of Nagoya is in the Dominican Republic.,1,0,TF,AND,AB,0,-5.0518113891697105,-15.393695561109078
1983,element_symb,"element_symb::[""Copper"",""Dysprosium""]",Copper has the symbol La and Dysprosium has the symbol Dy.,Dysprosium has the symbol Dy.,Copper has the symbol La.,1,0,TF,AND,BA,0,-3.4856356650345686,-16.559287984427954
1985,sp_en_trans,"sp_en_trans::[""morir"",""mujer""]",The Spanish word 'mujer' means 'woman' or the Spanish word 'morir' means 'problem'.,The Spanish word 'mujer' means 'woman'.,The Spanish word 'morir' means 'problem'.,1,0,TF,OR,AB,1,-13.447645353693437,8.422365513059269
1986,inventors,"inventors::[""Garrett Morgan"",""Levi Strauss""]",Garrett Morgan lived in the U.S or Levi Strauss lived in the U.S.,Garrett Morgan lived in the U.S.,Levi Strauss lived in the U.S.,1,1,TT,OR,AB,1,3.8497697026255433,15.285331516648798
1989,inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Finland or Paul Gottlieb Nipkow lived in Germany.,Linus Torvalds lived in Finland.,Paul Gottlieb Nipkow lived in Germany.,1,1,TT,OR,AB,1,5.306023643133742,12.736008242588888
1993,inventors,"inventors::[""Albert Ghiorso"",""Alexander Graham Bell""]",Alexander Graham Bell lived in Turkey/the U.S and Albert Ghiorso lived in the U.S.,Alexander Graham Bell lived in Turkey/the U.S.,Albert Ghiorso lived in the U.S.,0,1,FT,AND,AB,0,4.773415251841664,-11.868252158437784
2007,inventors,"inventors::[""Carl Sontheimer"",""Elihu Thomson""]",Elihu Thomson lived in Austria/the U.S or Carl Sontheimer lived in Norway.,Carl Sontheimer lived in Norway.,Elihu Thomson lived in Austria/the U.S.,0,0,FF,OR,BA,0,3.226244213282971,-3.226257986817313
2010,element_symb,"element_symb::[""Actinium"",""Platinum""]",Actinium has the symbol H and Platinum has the symbol S.,Platinum has the symbol S.,Actinium has the symbol H.,0,0,FF,AND,BA,0,-11.16575219694724,-31.220078895705125
2013,cities,"cities::[""Jamshedpur"",""Pimpri""]",The city of Pimpri is in India and the city of Jamshedpur is in Kenya.,The city of Jamshedpur is in Kenya.,The city of Pimpri is in India.,0,1,FT,AND,BA,0,-0.9341692572003414,-13.66684493343473
2014,element_symb,"element_symb::[""Boron"",""Osmium""]",Boron has the symbol B and Osmium has the symbol P.,Osmium has the symbol P.,Boron has the symbol B.,0,1,FT,AND,BA,0,-10.05013844092514,-15.752584211407795
2036,cities,"cities::[""Jakarta"",""Shah Alam""]",The city of Jakarta is in Indonesia or the city of Shah Alam is in Malaysia.,The city of Shah Alam is in Malaysia.,The city of Jakarta is in Indonesia.,1,1,TT,OR,BA,1,7.275073307405361,24.42171534011828
2037,animal_class,"animal_class::[""gorilla"",""llama""]",The gorilla is a reptile or the llama is a mammal.,The llama is a mammal.,The gorilla is a reptile.,1,0,TF,OR,BA,1,2.1695344211010625,5.548441732379452
2041,cities,"cities::[""Hanoi"",""Lubumbashi""]",The city of Lubumbashi is in the Democratic Republic of the Congo and the city of Hanoi is in Norway.,The city of Hanoi is in Norway.,The city of Lubumbashi is in the Democratic Republic of the Congo.,0,1,FT,AND,BA,0,-3.5298168441723003,-10.572502881129498
2053,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Praseodymium has the symbol Pr or Antimony has the symbol Sb.,Antimony has the symbol Sb.,Praseodymium has the symbol Pr.,1,1,TT,OR,BA,1,-3.3968295074614825,18.532207155445786
2058,element_symb,"element_symb::[""Gold"",""Ruthenium""]",Gold has the symbol Au and Ruthenium has the symbol Rh.,Ruthenium has the symbol Rh.,Gold has the symbol Au.,0,1,FT,AND,BA,0,2.2760620399246734,-7.754813845640131
2061,inventors,"inventors::[""Bartolomeo Cristofori"",""Joseph Glidden""]",Joseph Glidden lived in China or Bartolomeo Cristofori lived in the U.K.,Bartolomeo Cristofori lived in the U.K.,Joseph Glidden lived in China.,0,0,FF,OR,BA,0,1.9855948402280172,-4.505639191296836
2064,cities,"cities::[""Jamshedpur"",""Pimpri""]",The city of Pimpri is in India and the city of Jamshedpur is in India.,The city of Jamshedpur is in India.,The city of Pimpri is in India.,1,1,TT,AND,BA,1,11.437883640043612,9.099149679814845
2065,cities,"cities::[""Agadir"",""Comilla""]",The city of Comilla is in Ethiopia and the city of Agadir is in Morocco.,The city of Agadir is in Morocco.,The city of Comilla is in Ethiopia.,1,0,TF,AND,BA,0,3.276510634957239,-9.957907585684241
2067,cities,"cities::[""Abu Ghurayb"",""Porto Velho""]",The city of Porto Velho is in Uzbekistan and the city of Abu Ghurayb is in Italy.,The city of Porto Velho is in Uzbekistan.,The city of Abu Ghurayb is in Italy.,0,0,FF,AND,AB,0,-4.906987102683401,-25.992442717469164
2071,element_symb,"element_symb::[""Gold"",""Ruthenium""]",Ruthenium has the symbol Rh or Gold has the symbol Au.,Ruthenium has the symbol Rh.,Gold has the symbol Au.,0,1,FT,OR,AB,1,-3.7531707415988023,6.2906875089274354
2073,sp_en_trans,"sp_en_trans::[""abrigo"",""ejemplo""]",The Spanish word 'ejemplo' means 'to see' or the Spanish word 'abrigo' means 'to eat'.,The Spanish word 'ejemplo' means 'to see'.,The Spanish word 'abrigo' means 'to eat'.,0,0,FF,OR,AB,0,-16.04256549975416,-9.920776039924121
2076,animal_class,"animal_class::[""lobster"",""shark""]",The shark is a cnidarian or the lobster is a arachnid.,The shark is a cnidarian.,The lobster is a arachnid.,0,0,FF,OR,AB,0,2.8173367989868896,7.983707656490043
2078,element_symb,"element_symb::[""Radium"",""Tellurium""]",Radium has the symbol Ra or Tellurium has the symbol Te.,Tellurium has the symbol Te.,Radium has the symbol Ra.,1,1,TT,OR,BA,1,1.648465187024046,16.894922969848036
2089,inventors,"inventors::[""Hans von Ohain"",""John Kay""]",Hans von Ohain lived in England and John Kay lived in the U.K.,John Kay lived in the U.K.,Hans von Ohain lived in England.,1,0,TF,AND,BA,0,3.901213481089798,-6.435750523110791
2093,cities,"cities::[""Maceio"",""Yerevan""]",The city of Maceio is in Brazil and the city of Yerevan is in Uganda.,The city of Yerevan is in Uganda.,The city of Maceio is in Brazil.,0,1,FT,AND,BA,0,-2.105838239624342,-12.274027038032509
2102,sp_en_trans,"sp_en_trans::[""ejemplo"",""gato""]",The Spanish word 'ejemplo' means 'example' or the Spanish word 'gato' means 'to fall'.,The Spanish word 'gato' means 'to fall'.,The Spanish word 'ejemplo' means 'example'.,0,1,FT,OR,BA,1,-7.463023201481232,11.347658592977737
2108,sp_en_trans,"sp_en_trans::[""clase"",""conectar""]",The Spanish word 'conectar' means 'to connect' or the Spanish word 'clase' means 'twenty'.,The Spanish word 'conectar' means 'to connect'.,The Spanish word 'clase' means 'twenty'.,1,0,TF,OR,AB,1,-10.893060044497902,10.049612111313905
2111,cities,"cities::[""Bhopal"",""Kisangani""]",The city of Kisangani is in the Democratic Republic of the Congo or the city of Bhopal is in India.,The city of Bhopal is in India.,The city of Kisangani is in the Democratic Republic of the Congo.,1,1,TT,OR,BA,1,6.432967246744154,22.66077498022516
2120,inventors,"inventors::[""Jacob Perkins"",""John Boyd Dunlop""]",Jacob Perkins lived in Turkey/the U.S or John Boyd Dunlop lived in Austria.,John Boyd Dunlop lived in Austria.,Jacob Perkins lived in Turkey/the U.S.,0,0,FF,OR,BA,0,3.209011105476617,-7.002496209629324
2123,inventors,"inventors::[""Daniel Fahrenheit"",""Jean-Bernard-Léon Foucault""]",Daniel Fahrenheit lived in Poland/Germany or Jean-Bernard-Léon Foucault lived in Germany.,Daniel Fahrenheit lived in Poland/Germany.,Jean-Bernard-Léon Foucault lived in Germany.,1,0,TF,OR,AB,1,5.443806712017331,5.120156664783035
2126,inventors,"inventors::[""Albert Ghiorso"",""Alexander Graham Bell""]",Albert Ghiorso lived in Austria or Alexander Graham Bell lived in Turkey/the U.S.,Alexander Graham Bell lived in Turkey/the U.S.,Albert Ghiorso lived in Austria.,0,0,FF,OR,BA,0,-0.9994607069733458,6.145045571901003
2131,cities,"cities::[""Abu Ghurayb"",""Porto Velho""]",The city of Porto Velho is in Brazil and the city of Abu Ghurayb is in Iraq.,The city of Porto Velho is in Brazil.,The city of Abu Ghurayb is in Iraq.,1,1,TT,AND,AB,1,12.407825004970134,4.0292688684048175
2133,sp_en_trans,"sp_en_trans::[""caer"",""rey""]",The Spanish word 'rey' means 'to pass' or the Spanish word 'caer' means 'sun'.,The Spanish word 'caer' means 'sun'.,The Spanish word 'rey' means 'to pass'.,0,0,FF,OR,BA,0,-7.128463210948819,-8.665244042733034
2136,element_symb,"element_symb::[""Manganese"",""Neon""]",Manganese has the symbol S or Neon has the symbol Ne.,Manganese has the symbol S.,Neon has the symbol Ne.,0,1,FT,OR,AB,1,-3.798766445549014,13.282045114388078
2145,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Praseodymium has the symbol I or Antimony has the symbol Sb.,Antimony has the symbol Sb.,Praseodymium has the symbol I.,1,0,TF,OR,BA,1,-6.31206789195932,10.503474240398084
2153,element_symb,"element_symb::[""Manganese"",""Neon""]",Manganese has the symbol S and Neon has the symbol B.,Manganese has the symbol S.,Neon has the symbol B.,0,0,FF,AND,AB,0,-14.435628847267488,-30.809818360929118
2174,animal_class,"animal_class::[""hedgehog"",""mongoose""]",The hedgehog is a fish or the mongoose is a reptile.,The mongoose is a reptile.,The hedgehog is a fish.,0,0,FF,OR,BA,0,2.9597425987874018,-2.0533191922654446
2175,element_symb,"element_symb::[""Phosphorus"",""Praseodymium""]",Phosphorus has the symbol Se or Praseodymium has the symbol I.,Phosphorus has the symbol Se.,Praseodymium has the symbol I.,0,0,FF,OR,AB,0,-7.912251405861608,-13.564583757898534
2177,element_symb,"element_symb::[""Gallium"",""Molybdenum""]",Molybdenum has the symbol V or Gallium has the symbol Ga.,Gallium has the symbol Ga.,Molybdenum has the symbol V.,1,0,TF,OR,BA,1,-4.323592549476524,10.619692321683116
2178,sp_en_trans,"sp_en_trans::[""ejemplo"",""gato""]",The Spanish word 'ejemplo' means 'to see' or the Spanish word 'gato' means 'cat'.,The Spanish word 'gato' means 'cat'.,The Spanish word 'ejemplo' means 'to see'.,1,0,TF,OR,BA,1,-1.152881730840185,14.311229224941835
2183,sp_en_trans,"sp_en_trans::[""enemigo"",""esposa""]",The Spanish word 'esposa' means 'wife' or the Spanish word 'enemigo' means 'enemy'.,The Spanish word 'esposa' means 'wife'.,The Spanish word 'enemigo' means 'enemy'.,1,1,TT,OR,AB,1,6.127479354903334,21.251431994364122
2190,sp_en_trans,"sp_en_trans::[""oscuro"",""primero""]",The Spanish word 'oscuro' means 'to see' or the Spanish word 'primero' means 'to multiply'.,The Spanish word 'oscuro' means 'to see'.,The Spanish word 'primero' means 'to multiply'.,0,0,FF,OR,AB,0,-11.85295722069939,-18.325942529842525
2193,inventors,"inventors::[""Fridtjof Nansen"",""Mary Walton""]",Mary Walton lived in the U.S and Fridtjof Nansen lived in Norway.,Mary Walton lived in the U.S.,Fridtjof Nansen lived in Norway.,1,1,TT,AND,AB,1,6.831645946140052,4.955315248383327
2194,animal_class,"animal_class::[""goat"",""llama""]",The llama is a mammal and the goat is a mammal.,The llama is a mammal.,The goat is a mammal.,1,1,TT,AND,AB,1,7.799375349488239,5.591501256763682
2195,sp_en_trans,"sp_en_trans::[""caer"",""rey""]",The Spanish word 'rey' means 'king' or the Spanish word 'caer' means 'to fall'.,The Spanish word 'caer' means 'to fall'.,The Spanish word 'rey' means 'king'.,1,1,TT,OR,BA,1,0.5901801460321915,21.03155008184189
2197,animal_class,"animal_class::[""bison"",""camel""]",The camel is a mammal and the bison is a mammal.,The bison is a mammal.,The camel is a mammal.,1,1,TT,AND,BA,1,6.967024529833056,8.518259211106686
2201,element_symb,"element_symb::[""Copper"",""Nitrogen""]",Nitrogen has the symbol Np or Copper has the symbol La.,Nitrogen has the symbol Np.,Copper has the symbol La.,0,0,FF,OR,AB,0,-7.778116778904275,-5.368845806084591
2204,element_symb,"element_symb::[""Molybdenum"",""Radon""]",Radon has the symbol Np and Molybdenum has the symbol V.,Radon has the symbol Np.,Molybdenum has the symbol V.,0,0,FF,AND,AB,0,-4.781839067738815,-26.13950592245649
2213,sp_en_trans,"sp_en_trans::[""oferta"",""siete""]",The Spanish word 'siete' means 'seven' and the Spanish word 'oferta' means 'open'.,The Spanish word 'siete' means 'seven'.,The Spanish word 'oferta' means 'open'.,1,0,TF,AND,AB,0,-1.808166666656814,-7.259752061821031
2217,cities,"cities::[""Abu Ghurayb"",""Porto Velho""]",The city of Abu Ghurayb is in Italy and the city of Porto Velho is in Uzbekistan.,The city of Porto Velho is in Uzbekistan.,The city of Abu Ghurayb is in Italy.,0,0,FF,AND,BA,0,-5.838803542805579,-26.014306733476634
2227,cities,"cities::[""Lianyungang"",""Puducherry""]",The city of Puducherry is in India or the city of Lianyungang is in China.,The city of Puducherry is in India.,The city of Lianyungang is in China.,1,1,TT,OR,AB,1,8.094118234839891,20.86615801793658
2240,inventors,"inventors::[""Fridtjof Nansen"",""Mary Walton""]",Fridtjof Nansen lived in Scotland/Canada/the U.S or Mary Walton lived in the U.S.,Mary Walton lived in the U.S.,Fridtjof Nansen lived in Scotland/Canada/the U.S.,1,0,TF,OR,BA,1,2.8195324436720965,2.4110071392725105
2244,animal_class,"animal_class::[""camel"",""elephant""]",The camel is a crustacean and the elephant is a crustacean.,The camel is a crustacean.,The elephant is a crustacean.,0,0,FF,AND,AB,0,-8.080162340585053,-19.281118318816734
